Name	Years	Gender	Area	Authority	Decile	Roll
Bulls School	1–8	Coed	Bulls	State	6	181
Clifton School	1–8	Coed	Bulls	State	6	115
Hunterville Consolidated School	1–8	Coed	Hunterville	State	7	194
Huntley School	1–8	Boys	Marton	Private	8	142
James Cook School	1–8	Coed	Marton	State	2	169
Mangaweka School	1–8	Coed	Mangaweka	State	7	33
Marton Junction School	1–8	Coed	Marton	State	1	64
Marton School	1–8	Coed	Marton	State	3	188
Mataroa School	1–8	Coed	Mataroa	State	5	40
Moawhango School	1–8	Coed	Moawhango	State	6	33
Nga Tawa Diocesan School	9–13	Girls	Marton	State integrated	9	268
Papanui Junction School	1–8	Coed	Taihape	State	5	12
Pukeokahu School	1–8	Coed	Taihape	State	9	14
Rangitikei College	9–13	Coed	Marton	State	3	279
Rangiwaea School	1–8	Coed	Taihape	State	6	11
South Makirikiri School	1–8	Coed	Marton	State	6	156
St Joseph's School	1–8	Coed	Taihape	State integrated	5	106
St Matthew's School	1–8	Coed	Marton	State integrated	4	38
Taihape Area School	1–13	Coed	Taihape	State	4	311
Taoroa School	1–8	Coed	Taihape	State	5	9
Te Kura o Ratana	1–8	Coed	Ratana	State	1	34
Turakina Maori Girls' College	9–13	Girls	Marton	State integrated	3	70
Turakina School	1–8	Coed	Turakina	State	4	40
Whangaehu School	1–8	Coed	Whangaehu	State	3	10
