Place	Player	Country	Score	To par
1	Darren Clarke	Northern Ireland	67-66=133	–9
2	Justin Leonard	United States	69-66=135	–7
3	Jesper Parnevik	Sweden	70-66=136	–6
T4	Fred Couples	United States	69-68=137	–5
T4	David Tapping	England	71-66=137	–5
T6	Jim Furyk	United States	67-72=139	–3
T6	Tom Kite	United States	72-67=139	–3
8	Angel Cabrera	Argentina	70-70=140	–2
T9	Mark Calcavecchia	United States	74-67=141	–1
T9	Jay Haas	United States	71-70=141	–1
T9	Davis Love III	United States	70-71=141	–1
T9	Tom Watson	United States	71-70=141	–1
