Outcome	Date	Championship	Surface	Opponent	Score
Runner-up	25 March 1985	Rotterdam , Netherlands	Carpet	Miloslav Mečíř	1–6, 2–6
Runner-up	4 August 1986	Hilversum , Netherlands	Clay	Thomas Muster	1–6, 3–6, 3–6
Runner-up	11 July 1988	Gstaad , Switzerland	Clay	Darren Cahill	3–6, 4–6, 6–7 (2–7)
Runner-up	10 October 1988	Basel , Switzerland	Hard (i)	Stefan Edberg	5–7, 3–6, 6–3, 2–6
Winner	14 November 1988	Wembley , England	Carpet	Jonas Svensson	6–7 (4–7) , 3–6, 6–4, 6–0, 7–5
Winner	21 November 1988	Johannesburg , South Africa	Hard (i)	Christo van Rensburg	6–7, 6–4, 6–1, 7–6
Runner-up	28 November 1988	Brussels , Belgium	Carpet	Henri Leconte	6–7 (3–7) , 6–7 (6–8) , 4–6
Winner	13 February 1989	Rotterdam, Netherlands	Carpet	Anders Järryd	6–1, 7–5
Runner-up	27 February 1989	Lyon , France	Carpet	John McEnroe	3–6, 6–7 (3–7)
Winner	12 November 1990	Wembley, England	Carpet	Michael Chang	7–6 (9–7) , 6–3
Winner	30 September 1991	Basel, Switzerland	Hard (i)	John McEnroe	7–6 (7–4) , 6–0, 6–3
Runner-up	11 November 1991	Moscow , Russia	Carpet	Andrei Cherkasov	6–7 (2–7) , 6–3, 6–7 (5–7)
Runner-up	17 July 1995	Gstaad, Switzerland	Clay	Yevgeny Kafelnikov	3–6, 4–6, 6–3, 3–6
Runner-up	18 September 1995	Bordeaux , France	Hard	Yahiya Doumbia	4–6, 4–6
