Year	Event	Venue	Driver	Result	Category	Report
1938	Pau Grand Prix	Pau	Rudolf Caracciola Hermann Lang	2	Grand Prix	Report
1938	Tripoli Grand Prix	Mellaha	Hermann Lang	1	Grand Prix †	Report
1938	Tripoli Grand Prix	Mellaha	Manfred von Brauchitsch	2	Grand Prix †	Report
1938	Tripoli Grand Prix	Mellaha	Rudolf Caracciola	3	Grand Prix †	Report
1938	Coppa Ciano	Livorno	Hermann Lang	1	Grand Prix	Report
1938	Coppa Ciano	Livorno	Rudolf Caracciola	Ret	Grand Prix	Report
1938	Coppa Ciano	Livorno	Manfred von Brauchitsch	DSQ	Grand Prix	Report
1938	Coppa Acerbo	Pescara	Rudolf Caracciola	1	Grand Prix	Report
1938	Coppa Acerbo	Pescara	Hermann Lang	Ret	Grand Prix	Report
1938	Coppa Acerbo	Pescara	Manfred von Brauchitsch	Ret	Grand Prix	Report
1938	Donington Grand Prix	Donington Park	Hermann Lang	2	Grand Prix	Report
1938	Donington Grand Prix	Donington Park	Richard Seaman	3	Grand Prix	Report
1938	Donington Grand Prix	Donington Park	Manfred von Brauchitsch	5	Grand Prix	Report
1938	Donington Grand Prix	Donington Park	Walter Bäumer	Ret	Grand Prix	Report
1939	Pau Grand Prix	Pau	Hermann Lang	1	Grand Prix	Report
1939	Pau Grand Prix	Pau	Manfred von Brauchitsch	2	Grand Prix	Report
1939	Pau Grand Prix	Pau	Rudolf Caracciola	Ret	Grand Prix	Report
1939	Eifelrennen	Nürburgring	Hermann Lang	1	Grand Prix	Report
1939	Eifelrennen	Nürburgring	Rudolf Caracciola	3	Grand Prix	Report
1939	Eifelrennen	Nürburgring	Manfred von Brauchitsch	4	Grand Prix	Report
1939	Eifelrennen	Nürburgring	Hans Hartmann	8	Grand Prix	Report
1939	Eifelrennen	Nürburgring	Richard Seaman	Ret	Grand Prix	Report
1939	Belgrade City Race	Kalemegdan Park	Manfred von Brauchitsch	2	Grand Prix	Report
1939	Belgrade City Race	Kalemegdan Park	Hermann Lang	Ret	Grand Prix	Report
1947	Indianapolis 500	Indianapolis	Duke Nalon	Ret	American National Championship	Report
1948	Indianapolis 500	Indianapolis	Chet Miller * Ken Fowler Louis Tomei	Ret	American National Championship	Report
1949	Indianapolis 500	Indianapolis	Joel Thorne	DNQ	American National Championship	Report
1951	Juan Peron Grand Prix	Costanera	Hermann Lang	2	Formula Libre	Report
1951	Juan Peron Grand Prix	Costanera	Juan Manuel Fangio	3	Formula Libre	Report
1951	Juan Peron Grand Prix	Costanera	Karl Kling	6	Formula Libre	Report
1951	Eva Peron Grand Prix	Costanera	Karl Kling	2	Formula Libre	Report
1951	Eva Peron Grand Prix	Costanera	Hermann Lang	3	Formula Libre	Report
1951	Eva Peron Grand Prix	Costanera	Juan Manuel Fangio	Ret	Formula Libre	Report
1957	Indianapolis 500	Indianapolis	Danny Kladis	DNQ	American National Championship	Report
