Week #	Theme	Song Choice	Original Artist	Order #	Result
Audition	Auditioner's Choice	"Os Outros"	Kid Abelha	N/A	Advanced
Theater	First Solo	"Eu Tive Um Sonho"	Kid Abelha	N/A	Advanced
Top 32	Top 16 Women	"Me Chama"	Lobão	7	Advanced
Top 12	My Idol	"Como Eu Quero"	Kid Abelha	2	Bottom 2
Top 10	Male Singers	"Por Onde Andei"	Nando Reis	9	Safe
Top 9	Jovem Pan Number 1 Hits	"Amor Perfeito"	Claudia Leitte	7	Safe
Top 8	Dedicate A Song	"A Sua"	Marisa Monte	7	Safe
Top 7	Female Singers	"Agora Só Falta Você"	Rita Lee	1	Safe
Top 6	Skank	"Tanto"	Skank	4	Bottom 2
Top 5	Popular Classics	"Nem Um Toque"	Rosana	3	Safe
Top 5	Popular Classics	"Agüenta Coração"	José Augusto	8	Safe
Top 4	Raul Seixas	"Maluco Beleza "	Raul Seixas	2	Safe
Top 4	Contestant's Choice	"Espirais"	Marjorie Estiano	6	Safe
Top 3	Fans' Choice	"Os Outros"	Leoni	1	Safe
Top 3	Fans' Choice	"Sozinho"	Caetano Veloso	4	Safe
Top 2	Judges' Choice	"Devolva-me"	Adriana Calcanhotto	1	Winner
Top 2	Best of the Season	"Por Onde Andei"	Nando Reis	3	Winner
