Place	Player	Country	Score	To par	Money ( $ )
1	Scott Simpson	United States	71-68-70-68=277	–3	150,000
2	Tom Watson	United States	72-65-71-70=278	–2	75,000
3	Seve Ballesteros	Spain	68-75-68-71=282	+2	46,240
T4	Ben Crenshaw	United States	67-72-72-72=283	+3	24,542
T4	Bernhard Langer	West Germany	69-69-73-72=283	+3	24,542
T4	Larry Mize	United States	71-68-72-72=283	+3	24,542
T4	Curtis Strange	United States	71-72-69-71=283	+3	24,542
T4	Bobby Wadkins	United States	71-71-70-71=283	+3	24,542
T9	Lennie Clements	United States	70-70-70-74=284	+4	15,004
T9	Tsuneyuki Nakajima	Japan	68-70-74-72=284	+4	15,004
T9	Mac O'Grady	United States	71-69-72-72=284	+4	15,004
T9	Dan Pohl	United States	75-71-69-69=284	+4	15,004
T9	Jim Thorpe	United States	70-68-73-73=284	+4	15,004
