Feature	AMT 1.0 (Desktop)	AMT 2.0/2.1 (Desktop)	AMT 2.5/2.6 (Mobile)	AMT 3.0 (Desktop)	AMT 4.0 (Mobile)	AMT 5.0 (Desktop)	6.0 (Desktop & Mobile)	7.0 & 8.0 (Desktop & Mobile)
Hardware Inventory	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Persistent ID	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Remote Power On/Off	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SOL /IDER	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Event Management	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Third-party Data Storage	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Built-in web server	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Flash Protection	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Firmware Update	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TCP/IP , SOAP XML/EOI	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No
HTTP Digest/TLS	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Static and dynamic IP	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
System Defense	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Agent Presence	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Power Policies	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Mutual Authentication	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Kerberos	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TLS-PSK	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Privacy Icon	No	2.1 and up	Yes	Yes	Yes	Yes	Yes	Yes
ME Wake-on-LAN	No	2.1 and up	Yes	Yes	Yes	Yes	Yes	Yes
Remote Configuration	No	2.2 and up	2.6 and up	Yes	Yes	Yes	Yes	Yes
Wireless Configuration	No	No	Yes	No	Yes	No	Yes	Yes
Endpoint Access Control (EAC) 802.1	No	No	Yes	Yes	Yes	Yes	Yes	Yes
Power Packages	No	No	Yes	No	Yes	No	Yes	Yes
Environment Detection	No	No	Yes	No	Yes	No	Yes	Yes
Event Log Reader Realm	No	No	2.6 and up	Yes	Yes	Yes	Yes	Yes
System Defense Heuristics	No	No	No	Yes	No	Yes	Yes	Yes
WS-Management interface	No	No	No	Yes	Yes	Yes	Yes	Yes
VLAN settings for Intel AMT network interfaces	No	No	No	Yes	No	Yes	Yes	Yes
Fast Call For Help ( CIRA )	No	No	No	No	Yes	Yes	Yes	Yes
Access Monitor	No	No	No	No	Yes	Yes	Yes	Yes
MS NAP support	No	No	No	No	Yes	Yes	Yes	Yes
Virtualization Support for Agent Presence	No	No	No	No	No	Yes	Yes	Yes
PC Alarm Clock	No	No	No	No	No	5.1 and up	Yes	Yes
KVM Remote Control	No	No	No	No	No	No	Yes	Yes
Wireless Profile Synchronization	No	No	No	No	No	No	Yes	Yes
Support for IPv6	No	No	No	No	No	No	Yes	Yes
Host-based Provisioning	No	No	No	No	No	No	No	Yes
Host-based over the Internet Provisioning	No	No	No	No	Yes	Yes	Yes	Yes
Zero-touch over the Internet Provisioning	No	No	No	No	Yes	Yes	Yes	Yes
