Week	Date	Opponent	Result	Attendance
1	September 3, 1995	at New England Patriots	L 17–14	60,126
2	September 10, 1995	Tampa Bay Buccaneers	W 14–7	61,083
3	September 17, 1995	at Houston Oilers	W 14–7	36,077
4	September 24, 1995	Kansas City Chiefs	W 35–17	74,280
5	October 2, 1995	Buffalo Bills	L 22–19	76,211
6	October 8, 1995	at Detroit Lions	L 38–20	74,171
8	October 22, 1995	Jacksonville Jaguars	L 23–15	64,405
9	October 29, 1995	at Cincinnati Bengals	W 29–26	58,639
10	November 5, 1995	Houston Oilers	L 37–10	57,881
11	November 13, 1995	at Pittsburgh Steelers	L 20–3	58,675
12	November 19, 1995	Green Bay Packers	L 31–20	55,388
13	November 26, 1995	Pittsburgh Steelers	L 20–17	67,269
14	December 3, 1995	at San Diego Chargers	L 31–13	56,358
15	December 9, 1995	at Minnesota Vikings	L 27–11	47,984
16	December 17, 1995	Cincinnati Bengals	W 26–10	55,875
17	December 24, 1995	at Jacksonville Jaguars	L 24–21	66,007
