Date	Venue	Score	Result	Competition
25 March 1992	Parc des Princes , Paris	3–2	3–3	Friendly
22 April 1992	Constant Vanden Stock Stadium , Brussels	1–0	1–0	1994 World Cup qualifier
3 June 1992	Svangaskarð , Toftir	2–0	3–0	1994 World Cup qualifier
3 June 1992	Svangaskarð , Toftir	3–0	3–0	1994 World Cup qualifier
22 May 1993	Constant Vanden Stock Stadium, Brussels	1–0	3–0	1994 World Cup qualifier
22 May 1993	Constant Vanden Stock Stadium, Brussels	3–0	3–0	1994 World Cup qualifier
6 October 1993	Constant Vanden Stock Stadium, Brussels	1–1	2–1	Friendly
6 October 1993	Constant Vanden Stock Stadium, Brussels	2–1	2–1	Friendly
11 October 1997	King Baudouin Stadium , Brussels	3–0	3–2	1998 World Cup qualifier
25 March 1998	King Baudouin Stadium, Brussels	2–1	2–2	Friendly
3 June 1998	King Baudouin Stadium, Brussels	2–0	2–0	Friendly
20 June 1998	Stade Chaban-Delmas , Bordeaux	1–0	2–2	1998 World Cup
20 June 1998	Stade Chaban-Delmas , Bordeaux	2–0	2–2	1998 World Cup
18 August 1999	Jan Breydel Stadium , Bruges	2–3	3–4	Friendly
4 September 1999	De Kuip , Rotterdam	4–3	5–5	Friendly
13 November 1999	Stadio Via del Mare , Lecce	2–1	3–1	Friendly
3 June 2000	Parken Stadium , Copenhagen	2–2	2–2	Friendly
7 October 2000	Skonto Stadium , Riga	1–0	4–0	2002 World Cup qualifier
28 February 2001	King Baudouin Stadium, Brussels	7–0	10–1	2002 World Cup qualifier
24 March 2001	Hampden Park , Glasgow	1–2	2–2	2002 World Cup qualifier
2 June 2001	King Baudouin Stadium, Brussels	1–0	3–1	2002 World Cup qualifier
6 June 2001	Stadio Olimpico , Serravalle	1–0	4–1	2002 World Cup qualifier
6 June 2001	Stadio Olimpico , Serravalle	4–1	4–1	2002 World Cup qualifier
14 November 2001	Letna Stadium , Prague	1–0	1–0	2002 World Cup qualifier
18 May 2002	Stade de France , Saint-Denis	2–1	2–1	Friendly
4 June 2002	Saitama Stadium 2002 , Saitama	1–0	2–2	2002 World Cup
10 June 2002	Ōita Big Eye Stadium , Ōita	1–0	1–1	2002 World Cup
14 June 2002	Shizuoka Ecopa Stadium , Shizuoka	3–1	3–2	2002 World Cup
