Railway	Built	Wheels	Location	ObjectNumber
GNR	1870	4-2-2	Shildon	1975-7014
LSWR	1874	2-4-0WT	Bodmin	1978-7018
Hebburn Works	1874	0-4-0ST	York	1953-354
NER	1874	0-6-0	York	1975-7009
NER	1875	2-4-0	Kirkby Stephen	1975-7004
LBSCR	1880	0-6-0T	York	1975-7012
LBSCR	1882	0-4-2	York	1975-7017
NER	1885	2-4-0	Darlington	1975-7020
LYR	1889	2-4-2T	York	1976-7003
LNWR	1892	2-4-0	Shildon	1975-7023
S&MR	1893	0-4-2WT	Tenterden	1975-7010
LSWR	1893	4-4-0	Shildon	1975-7000
NER	1893	4-4-0	Shildon	1975-7008
GNR	1893	Only the tender of Stirling Single 1002 survives.	Shildon	1978-7122
GER	1894	2-4-0	Bressingham	1975-7002
LSWR	1897	0-4-4T	York	1978-7020
GWR	1897	0-6-0	Swindon	1978-7021
TVR	1897	0-6-2T	Llangollen	1978-7022
GNR	1898	4-4-2	Bressingham	1975-7001
MR	1899	4-2-2	York	1978-7023
GNR	1899	0-6-0ST	York	1980-7001
LSWR	1899	4-4-0	Bodmin	1978-7024
