2004/ 05	2007/ 08	2010/ 11	2011/ 12	2012/ 13
UR	UR	UR He was an amateur.	UR	UR
Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments
Not Held	Not Held	Non-Ranking	Non-Ranking	A
Not Held	Not Held	Not Held	A	A
Not Held	LQ	A	A	A
Not Held	Not Held	Not Held	Not Held	Not Held
Not Held	Not Held	Not Held	Not Held	A
A	LQ	A	A	A
Not Held	Not Held	A	A	A
Not Held	Not Held	DNQ	DNQ	DNQ
LQ	LQ	A	A	A
Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments
Not Held	LQ	Not Held	Not Held	Not Held
