Tournament	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	2R	1R	2R	3R	1R
French Open	2R	2R	2R	1R	2R	1R
Wimbledon	1R	QF	1R	QF	3R	1R
US Open	2R	1R	2R	SF	3R	SF
Win–Loss	2–3	5–4	2–3	8–4	7–2	4–4
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
ATP World Tour Finals	A	A	A	A	A	W
ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000	ATP Masters Series 1000
Indian Wells	A	A	A	A	1R	2R
Miami	A	A	A	A	1R	2R
Monte Carlo	A	A	A	1R	QF	SF
Rome	A	A	A	A	QF	W
Madrid (Clay)	As Hamburg	As Hamburg	QF	SF	2R	QF
Canada	A	A	A	A	A	F
Cincinnati	A	A	A	A	A	QF
Madrid (Hard)	A	QF	Held as Shanghai	Held as Shanghai	Held as Shanghai	Held as Shanghai
Shanghai	Not Held	Not Held	A	A	A	2R
Paris	A	A	F	1R	A	A
Win–Loss	0–0	2–1	6–2	5–4	4–4	16–6
