Position	Number	Name	Height	Weight	Class	Hometown	Games↑
QB	17	Nick Stephens	6'4"	215lb.	Soph.	Flower Mound, Texas	1
TB	27	* Arian Foster	6'1"	225lb.	RS-Sr.	San Diego, California	5
TE	88	Luke Stocker	6'6"	245lb.	Soph.	Berea, Kentucky	0
WR	12	* Lucas Taylor	6'0"	185lb.	Sr.	Carencro, Louisiana	0
WR	4	Gerald Jones	6'0"	180lb.	Soph.	Oklahoma City, Oklahoma	0
WR	81	* Josh Briscoe	6'3"	183lb.	Sr.	Lawndale, North Carolina	0
LT	78	* Ramon Foster	6'6"	325lb.	Sr.	Henning, Tennessee	0
LG	75	* Anthony Parker	6'3"	305lb.	RS-Sr.	Jonesboro, Georgia	0
C	50	* Josh McNeil	6'4"	280lb.	RS-Jr.	Collins, Mississippi	0
RG	65	* Jacques McClendon	6'3"	330lb.	RS-Jr.	Cleveland, Tennessee	0
RT	79	* Chris Scott	6'5"	325lb.	So.	Lovejoy, Georgia	0
