Date	Opponent	Score	Loss	Attendance	Record
April 1	Tigers	11 - 8	Moehler (0-1)	30,109	1-1
April 2	Tigers	7 - 1	Worrell (0-1)	28,261	2-1
April 3	White Sox	10 - 4	Gorecki (0-1)	31,816	2-2
April 4	White Sox	8 - 2	Eyre (0-1)	36,599	3-2
April 5	White Sox	5 - 0	Bere (0-1)	33,733	4-2
April 7	@ Tigers	3 - 1	Arrojo (1-1)	45,768	4-3
April 10	@ White Sox	3 - 0	Saunders (0-1)	13,563	4-4
April 11	@ White Sox	5 - 1	Bere (0-2)	17,322	5-4
April 12	@ White Sox	4 - 1	Navarro (0-2)	14,004	6-4
April 13	Twins	13 - 12 (14)	Trombley (0-2)	31,969	7-4
April 14	Twins	8 - 2	Springer (1-1)	34,337	7-5
April 16	@ Angels	6 - 5	Holtz (1-1)	22,906	8-5
April 17	@ Angels	5 - 0	Gorecki (1-2)	31,516	8-6
April 18	@ Angels	8 - 1	Dickson (0-3)	37,878	9-6
April 19	@ Angels	6 - 0	Watson (0-2)	34,580	10-6
April 21	@ Rangers	4 - 0	Springer (1-2)	26,776	10-7
April 22	@ Rangers	7 - 2	Saunders (1-2)	30,770	10-8
April 23	@ Rangers	12 - 5	Oliver (0-3)	33,319	11-8
April 24	Angels	10 - 3	Álvarez (3-2)	27,767	11-9
April 25	Angels	7 - 1	Arrojo (2-2)	33,395	11-10
April 26	Angels	2 - 1	Springer (1-3)	26,882	11-11
April 27	Athletics	7 - 6	Hernández (0-1)	25,484	11-12
April 28	Athletics	4 - 3	Johnson (1-1)	25,138	11-13
April 29	@ Twins	2 - 0	Álvarez (3-3)	8,964	11-14
April 30	@ Twins	2 - 0	Hawkins (0-3)	8,860	12-14
