Draw	Language	Artist	Song	English translation	Place	Points
01	Norwegian	Kate Gulbrandsen	" Mitt liv "	My life	9	65
02	Hebrew	Datner & Kushnir	" Shir Habatlanim " (שיר הבטלנים)	The lazy bums song	8	73
03	German	Gary Lux	" Nur noch Gefühl "	Only emotion	20	8
04	Icelandic	Halla Margrét	" Hægt og hljótt "	Slowly and quietly	16	28
05	Dutch	Liliane Saint-Pierre	" Soldiers of Love "	–	11	56
06	Swedish	Lotta Engberg	" Boogaloo "	–	12	50
07	Italian	Umberto Tozzi & Raf	" Gente di mare "	People of the sea	3	103
08	Portuguese	Nevada	" Neste barco à vela "	In this sailing boat	18	15
09	Spanish	Patricia Kraus	" No estás solo "	You're not alone	19	10
10	Turkish	Seyyal Taner & Lokomotif	" Şarkım Sevgi Üstüne "	My song is about love	22	0
11	Greek	Bang	" Stop " (Στοπ)	–	10	64
12	Dutch	Marcha	" Rechtop in de wind "	Upright in the wind	5	83
13	French	Plastic Bertrand	" Amour, Amour "	Love, Love	21	4
14	English	Rikki	" Only the Light "	–	13	47
15	French	Christine Minier	" Les mots d'amour n'ont pas de dimanche "	The words of love don't have a Sunday	14	44
16	German	Wind	" Laß die Sonne in dein Herz "	Let the sun into your heart	2	141
17	Greek	Alexia	" Aspro Mavro " (Άσπρο-μαύρο)	White black	7	80
18	Finnish	Vicky Rosti & Boulevard	" Sata salamaa "	A hundred lightnings	15	32
19	Danish	Anne-Cathrine Herdorf & Bandjo	" En lille melodi "	A little tune	5	83
20	English	Johnny Logan	" Hold Me Now "	–	1	172
21	Croatian	Novi Fosili	" Ja sam za ples "	I wanna dance	4	92
22	French	Carol Rich	" Moitié, moitié "	Half and half	17	26
