Date	Visitor	Score	Home	Leading scorer	Attendance	Record
February 1	Cleveland	82-101	Indiana	Hot Rod Williams , 14 points	Market Square Arena 13,972	26-17
February 2	Cleveland	83-85	Detroit	Terrell Brandon , 15 points	The Palace of Auburn Hills 13,286	26-18
February 4	Indiana	73-82	Cleveland	Hot Rod Williams , 19 points	Gund Arena 20,562	27-18
February 7	Philadelphia	84-90	Cleveland	2 way tie, 16 points	Gund Arena 20,130	28-18
February 8	Cleveland	67-75	Boston	Terrell Brandon , 19 points	Boston Garden 14,890	28-19
February 15	Orlando	99-100	Cleveland	Terrell Brandon , 31 points	Gund Arena 20,562	29-19
February 16	Cleveland	106-85	Milwaukee	Chris Mills , 23 points	Bradley Center 13,498	30-19
February 18	Cleveland	82-75	New Jersey	Chris Mills , 23 points	Brendan Byrne Arena 15,652	31-19
February 20	Miami	103-96	Cleveland	Hot Rod Williams , 20 points	Gund Arena 20,562	31-20
February 21	Cleveland	99-91	New York	Danny Ferry , 20 points	Madison Square Garden 19,763	32-20
February 25	New Jersey	102-105	Cleveland	Danny Ferry , 24 points	Gund Arena 20,562	33-20
February 27	Cleveland	78-86	Houston	Terrell Brandon , 26 points	The Summit 14,253	33-21
February 28	Cleveland	83-100	San Antonio	Terrell Brandon , 17 points	Alamodome 15,546	33-22
