Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 10	Infiniti Senior Tournament of Champions	California	350,000	Al Geiberger (8)	280 (-8)	52,500
Feb 7	Royal Caribbean Classic	Florida	750,000	Jim Colbert (6)	199 (-14)	112,500
Feb 14	Better Homes & Gardens Real Estate Challenge	Florida	500,000	Mike Hill (14)	202 (-14)	75,000
Feb 21	GTE Suncoast Classic	Florida	500,000	Jim Albus (2)	206 (-7)	75,000
Mar 7	GTE West Classic	California	500,000	Al Geiberger (9)	198 (-12)	75,000
Mar 14	Vantage at The Dominion	Texas	650,000	J. C. Snead (1)	214 (-2)	97,500
Mar 21	Gulfstream Aerospace Invitational	California	550,000	Raymond Floyd (4)	194 (-22)	82,500
Mar 28	Doug Sanders Celebrity Classic	Texas	500,000	Bob Charles (19)	208 (-8)	75,000
Apr 4	The Tradition	Arizona	850,000	Tom Shaw (2)	269 (-19)	127,500
Apr 18	PGA Seniors' Championship	Florida	800,000	Tom Wargo (1)	275 (-13)	110,000
Apr 25	Muratec Reunion Pro-Am	Texas	500,000	Dave Stockton (2)	211 (-5)	75,000
May 2	Las Vegas Senior Classic	Nevada	700,000	Gibby Gilbert (4)	204 (-12)	105,000
May 16	PaineWebber Invitational	North Carolina	550,000	Mike Hill (15)	204 (-12)	82,500
May 23	Bell Atlantic Classic	Pennsylvania	650,000	Bob Charles (20)	204 (-6)	97,500
May 30	Cadillac NFL Golf Classic	New Jersey	850,000	Lee Trevino (16)	209 (-7)	127,500
Jun 6	NYNEX Commemorative	New York	550,000	Bob Wynn (1)	203 (-7)	82,500
Jun 13	Southwestern Bell Classic	Missouri	700,000	Dave Stockton (3)	204 (-6)	105,000
Jun 20	Burnet Senior Classic	Minnesota	1,050,000	Chi Chi Rodriguez (22)	201 (-15)	157,500
Jun 27	Ford Senior Players Championship	Michigan	1,200,000	Jim Colbert (7)	278 (-10)	180,000
Jul 4	Kroger Senior Classic	Ohio	850,000	Simon Hobday (1)	202 (-11)	127,500
Jul 11	U.S. Senior Open	Colorado	700,000	Jack Nicklaus (6)	278 (-6)	135,330
Jul 18	Ameritech Senior Open	Illinois	600,000	George Archer (12)	133 (-11)	90,000
Jul 25	First of America Classic	Michigan	550,000	George Archer (13)	199 (-14)	82,500
Aug 1	Northville Long Island Classic	New York	550,000	Raymond Floyd (5)	208 (-8)	82,500
Aug 8	Bank of Boston Senior Golf Classic	Massachusetts	750,000	Bob Betley (1)	204 (-12)	112,500
Aug 15	Franklin Quest Championship	Utah	500,000	Dave Stockton (4)	197 (-19)	75,000
Aug 22	GTE Northwest Classic	Washington	500,000	Dave Stockton (5)	200 (-16)	75,000
Aug 29	Bruno's Memorial Classic	Alabama	850,000	Bob Murphy (1)	203 (-13)	127,500
Sep 5	Quicksilver Classic	Pennsylvania	1,050,000	Bob Charles (21)	207 (-9)	157,500
Sep 12	GTE North Classic	Indiana	500,000	Bob Murphy (2)	134 (-10)	75,000
Sep 19	Bank One Senior Classic	Kentucky	550,000	Gary Player (17)	202 (-14)	82,500
Sep 26	Nationwide Championship	Georgia	950,000	Lee Trevino (17)	205 (-11)	142,500
Oct 3	Vantage Championship	North Carolina	1,500,000	Lee Trevino (18)	198 (-18)	225,000
Oct 10	The Transamerica	California	600,000	Dave Stockton (6)	203 (-13)	90,000
Oct 17	Raley's Senior Gold Rush	California	600,000	George Archer (14)	202 (-14)	90,000
Oct 24	Ralphs Senior Classic	California	650,000	Dale Douglass (10)	196 (-17)	97,500
Oct 31	PING Kaanapali Classic	Hawaii	550,000	George Archer (15)	199 (-17)	82,500
Dec 12	Hyatt Senior Tour Championship	Puerto Rico	1,000,000	Simon Hobday (2)	199 (-17)	150,000
