Round	Date	Matches	Clubs	Prize money
Extra Preliminary Round	28 August 2004	73	661 → 588	£500
Preliminary Round	4 September 2004	182	588 → 406	£1,000
First Qualifying Round	18 September 2004	124	406 → 282	£2,250
Second Qualifying Round	2 October 2004	84	282 → 198	£3,750
Third Qualifying Round	16 October 2004	42	198 → 156	£5,000
Fourth Qualifying Round	30 October 2004	32	156 → 124	£10,000
First Round Proper	13 November 2004	40	124 → 84	£16,000
Second Round Proper	4 December 2004	20	84 → 64	£24,000
Third Round Proper	8 January 2005	32	64 → 32	£40,000
Fourth Round Proper	29 January 2005	16	32 → 16	£60,000
Fifth Round Proper	19 February 2005	8	16 → 8	£120,000
Sixth Round Proper	23 March 2005	4	8 → 4	£300,000
Semi-finals	16 April 2005	2	4 → 2	£900,000
Final	21 May 2005	1	2 → 1	£1,000,000
