Round	Player	Position	Nationality	College/Junior/Club Team (League)
2	Greg Johnson	Center	Canada	Thunder Bay Flyers ( USHL )
2	Patrik Juhlin	Left Wing	Sweden	Vasteras IK ( Elitserien )
4	Reid Simpson	Left Wing	Canada	Prince Albert Raiders ( WHL )
6	Niklas Eriksson	Right Wing	Sweden	Leksands IF (Elitserien)
7	Jack Callahan	Center	United States	Belmont Hill School (Mass.)
8	Sverre Sears	Defense	United States	Belmont Hill School (Mass.)
9	Glen Wisser	Forward	United States	Philadelphia Junior Flyers (Jr. B)
10	Allen Kummu	Defense	Canada	Humboldt Broncos ( SJHL )
11	Matt Brait	Defense	United States	St. Michael's Buzzers ( MetJHL )
12	James Pollio	Left Wing	United States	Vermont Academy (Vermont)
Sup	Jamie Baker	Defense	United States	Windsor Lancers ( CIAU )
