Rd #	Pick #	Player	Team (League)	Reg GP	Pl GP
1	9	Cam Neely	Portland Winterhawks ( WHL )	171	7
2	30	David Bruce	Kitchener Rangers ( OHL )	143	1
3	50	Scott Tottle	Peterborough Petes ( OHL )	0	0
4	70	Tim Lorenz	Portland Winterhawks ( WHL )	0	0
5	90	Doug Quinn	Nanaimo Islanders ( WHL )	0	0
6	110	Dave Lowry	London Knights ( OHL )	165	3
7	130	Terry Maki	Brantford Alexanders ( OHL )	0	0
8	150	John Labatt	University of Minnesota ( NCAA )	0	0
9	170	Allan Measures	Calgary Wranglers ( WHL )	0	0
10	190	Roger Grillo	University of Maine ( NCAA )	0	0
11	210	Steve Kayser	University of Vermont ( NCAA )	0	0
12	230	Jay Mazur	University of Maine ( NCAA )	47	6
