Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	32–11	Glover Teixeira	Decision (unanimous)	UFC on Fox 6	3	5:00	Chicago, Illinois, United States
Loss	32–10	Ryan Bader	Decision (unanimous)	UFC 144	3	5:00	Saitama , Japan
Loss	32–9	Jon Jones	Submission (rear naked choke)	UFC 135	4	1:14	Denver, Colorado, United States
Win	32–8	Matt Hamill	Decision (unanimous)	UFC 130	3	5:00	Las Vegas, Nevada, United States
Win	31–8	Lyoto Machida	Decision (split)	UFC 123	3	5:00	Auburn Hills, Michigan , United States
Loss	30–8	Rashad Evans	Decision (unanimous)	UFC 114	3	5:00	Las Vegas, Nevada, United States
Win	30–7	Keith Jardine	Decision (unanimous)	UFC 96	3	5:00	Columbus, Ohio , United States
Win	29–7	Wanderlei Silva	KO (punch)	UFC 92	1	3:21	Las Vegas, Nevada, United States
Loss	28–7	Forrest Griffin	Decision (unanimous)	UFC 86	5	5:00	Las Vegas, Nevada, United States
Win	28–6	Dan Henderson	Decision (unanimous)	UFC 75	5	5:00	London, England
Win	27–6	Chuck Liddell	TKO (punches)	UFC 71	1	1:53	Las Vegas, Nevada, United States
Win	26–6	Marvin Eastman	KO (punches)	UFC 67	2	3:49	Las Vegas, Nevada, United States
Win	25–6	Matt Lindland	Decision (split)	WFA: King of the Streets	3	5:00	Los Angeles, California, United States
Win	24–6	Yoon Dong-Sik	Decision (unanimous)	Pride 31	3	5:00	Saitama, Saitama, Japan
Win	23–6	Hirotaka Yokoi	TKO (soccer kick and stomp)	Pride 30	1	4:05	Saitama, Saitama, Japan
Loss	22–6	Maurício Rua	TKO (soccer kicks)	Pride Total Elimination 2005	1	4:47	Osaka, Osaka , Japan
Win	22–5	Murilo Rua	Decision (split)	Pride 29	3	5:00	Saitama, Saitama, Japan
Loss	21–5	Wanderlei Silva	KO (knees)	Pride 28	2	3:26	Saitama, Saitama, Japan
Win	21–4	Ricardo Arona	KO (slam)	Pride Critical Countdown 2004	1	7:32	Saitama, Saitama, Japan
Win	20–4	Ikuhisa Minowa	TKO (knee)	Pride Shockwave 2003	2	1:05	Saitama, Saitama, Japan
Loss	19–4	Wanderlei Silva	TKO (knees)	Pride Final Conflict 2003	1	6:28	Tokyo, Japan
Win	19–3	Chuck Liddell	TKO (corner stoppage)	Pride Final Conflict 2003	2	3:10	Tokyo, Japan
Win	18–3	Murilo Bustamante	Decision (split)	Pride Total Elimination 2003	3	5:00	Saitama, Saitama, Japan
Win	17–3	Mikhail Ilyukhin	TKO (knee to the body)	Pride 26	1	6:26	Yokohama, Kanagawa , Japan
Win	16–3	Kevin Randleman	TKO (knees & punches)	Pride 25	1	6:58	Yokohama, Kanagawa, Japan
Win	15–3	Igor Vovchanchyn	Submission (injury)	Pride 22	1	7:17	Nagoya, Aichi , Japan
Win	14–3	Sean Gray	TKO (punches)	KOTC 13 - Revolution	3	0:37	Reno, Nevada, United States
Win	13–3	Masaaki Satake	TKO (slam)	Pride 20	1	7:07	Yokohama, Kanagawa, Japan
Loss	12–3	Daijiro Matsui	DQ (knee to groin)	Pride 18	1	0:14	Fukuoka, Fukuoka , Japan
Win	12–2	Yuki Ishikawa	KO (punches)	Pride 17	1	1:52	Tokyo, Japan
Win	11–2	Alexander Otsuka	TKO (doctor stoppage)	BattlArts: BattlArts vs. the World	2	5:00	Tokyo, Japan
Loss	10–2	Kazushi Sakuraba	Submission (rear naked choke)	Pride 15	1	5:41	Saitama, Saitama, Japan
Win	10–1	Kenneth Williams	Submission (rear naked choke)	Gladiator Challenge 4	1	4:40	Colusa, California , United States
Win	9–1	Bryson Haubrick	Submission (punches)	KOTC 8 - Bombs Away	1	1:48	Williams, California , United States
Win	8–1	Rocko Henderson	Submission (kimura)	Gladiator Challenge 3	2	1:15	Friant, California , United States
Win	7–1	Dave Taylor	TKO (corner stoppage)	Gladiator Challenge 2	1	5:00	Colusa, California, United States
Win	6–1	Charlie West	Decision (unanimous)	Gladiator Challenge 1	3	5:00	San Jacinto, California , United States
Win	5–1	Rob Smith	Decision (unanimous)	KOTC 6 - Road Warriors	3	5:00	Mt. Pleasant, Michigan , United States
Win	4–1	Warren Owsley	Submission (armbar)	Dangerzone: Night of the Beast	1	6:04	Lynchburg, Virginia , United States
Win	3–1	Ron Rumpf	TKO (punches)	Continental Freefighting Alliance 2	1	1:18	Corinth, Mississippi , United States
Loss	2–1	Marvin Eastman	Decision (unanimous)	KOTC 4 - Gladiators	2	5:00	San Jacinto, California , United States
Win	2–0	Marco Bermudaz	Submission (rear naked choke)	Huntington Beach Underground Pancrase	2	7:17	Huntington Beach, California , United States
Win	1–0	Mike Pyle	Decision (unanimous)	ISCF: Memphis	3	5:00	Memphis, Tennessee , United States
