Rank	Athlete	Nation	Olympics	Gold	Silver	Bronze	Total(min. 2 medals)
1	Lee Calhoun Category:Articles with hCards	United States (USA)	1952–1956	2	0	0	2
1	Roger Kingdom Category:Articles with hCards	United States (USA)	1984–1988	2	0	0	2
3	Sydney Atkinson Category:Articles with hCards	South Africa (RSA)	1924–1928	1	1	0	2
3	Guy Drut Category:Articles with hCards	France (FRA)	1972–1976	1	1	0	2
5	Hayes Jones Category:Articles with hCards	United States (USA)	1960–1964	1	0	1	2
5	Willie Davenport Category:Articles with hCards	United States (USA)	1968–1976	1	0	1	2
5	Anier Garcia Category:Articles with hCards	Cuba (CUB)	2000–2004	1	0	1	2
8	Jack Davis Category:Articles with hCards	United States (USA)	1952–1956	0	2	0	2
8	Alejandro Casanas Category:Articles with hCards	Cuba (CUB)	1976–1980	0	2	0	2
8	Terrence Trammell Category:Articles with hCards	United States (USA)	2000–2004	0	2	0	2
11	Don Finlay Category:Articles with hCards	Great Britain (GBR)	1932–1936	0	1	1	2
