Driver	Constructor	Laps	Time/Retired	Grid
Johnny Herbert	Stewart - Ford	66	1:41:54.314	14
Jarno Trulli	Prost - Peugeot	66	+22.619	10
Rubens Barrichello	Stewart - Ford	66	+22.866	15
Ralf Schumacher	Williams - Supertec	66	+39.508	4
Mika Häkkinen	McLaren - Mercedes	66	+1:02.950	3
Marc Gené	Minardi - Ford	66	+1:05.154	20
Eddie Irvine	Ferrari	66	+1:06.683	9
Ricardo Zonta	BAR - Supertec	65	+1 lap	17
Olivier Panis	Prost - Peugeot	65	+1 lap	5
Jacques Villeneuve	BAR - Supertec	61	Clutch	8
Luca Badoer	Minardi - Ford	53	Gearbox	19
Pedro de la Rosa	Arrows	52	Gearbox	22
Giancarlo Fisichella	Benetton - Playlife	48	Spun off	6
Mika Salo	Ferrari	44	Brakes	12
Toranosuke Takagi	Arrows	42	Accident	21
David Coulthard	McLaren - Mercedes	37	Spun off	2
Jean Alesi	Sauber - Petronas	35	Halfshaft	16
Heinz-Harald Frentzen	Jordan - Mugen-Honda	32	Electrical	1
Alessandro Zanardi	Williams - Supertec	10	Collision	18
Damon Hill	Jordan - Mugen-Honda	0	Electrical	7
Alexander Wurz	Benetton - Playlife	0	Collision	11
Pedro Diniz	Sauber - Petronas	0	Collision	13
