Date	Score	Set 1	Set 2	Set 3	Set 4	Set 5	Total
May 23	3-0	25-16	25-18	25-19	NA	NA	75 - 53
May 24	3-0	25-15	29-27	25-19	NA	NA	79 - 61
May 25	3-1	25-16	23-25	25-13	25-14	NA	98 - 68
May 25	3-0	25-19	27-25	25-18	NA	NA	77 - 62
May 30	1-3	23-25	23-25	25-19	23-25	NA	94 - 94
May 31	2-3	25-23	19-25	25-18	24-26	09-15	102 - 107
Jun 1	3-1	25-21	24-26	25-19	25-17	NA	99 - 83
Jun 1	3-2	23-25	21-25	25-21	25-22	16-14	110 - 107
Jun 7	1-3	19-25	24-26	25-22	16-25	NA	84 - 98
Jun 7	0-3	21-25	25-27	22-25	NA	NA	68 - 77
Jun 8	1-3	18-25	25-19	22-25	29-31	NA	94 - 100
Jun 8	0-3	19-25	23-25	15-25	NA	NA	57 - 75
Jun 14	2-3	18-25	23-25	25-22	25-21	09-15	100 - 108
Jun 14	0-3	22-25	22-25	26-28	NA	NA	70 - 78
Jun 15	0-3	21-25	19-25	20-25	NA	NA	60 - 75
Jun 15	0-3	21-25	15-25	21-25	NA	NA	57 - 75
Jun 21	0-3	27-29	23-25	19-25	NA	NA	69 - 79
Jun 21	2-3	25-22	17-25	23-25	25-23	11-15	101 - 110
Jun 22	3-1	23-25	27-25	25-22	25-21	NA	100 - 93
Jun 22	3-1	17-25	25-22	33-31	25-17	NA	100 - 95
Jun 27	3-1	21-25	25-16	25-14	25-19	NA	96 - 74
Jun 27	1-3	23-25	28-26	22-25	22-25	NA	95 - 101
Jun 28	3-1	25-16	25-23	21-25	25-18	NA	96 - 82
Jun 29	1-3	25-19	21-25	21-25	22-25	NA	89 - 94
