Date	Series	Circuit	City / State	Winner	Team
24 Jan	Winfield Triple Challenge	Eastern Creek Raceway	Sydney , New South Wales	Glenn Seton	Peter Jackson Racing
28 Feb	ATCC Round 1 AMSCAR Round 1	Amaroo Park	Sydney, New South Wales	John Bowe	Shell Racing
14 Mar	ATCC Round 2	Symmons Plains Raceway	Launceston , Tasmania	Alan Jones	Peter Jackson Racing
4 Apr	ATCC Round 3	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Glenn Seton	Peter Jackson Racing
18 Apr	ATCC Round 4	Lakeside International Raceway	Brisbane , Queensland	Alan Jones	Peter Jackson Racing
16 May	ATCC Round 5	Winton Motor Raceway	Benalla , Victoria	Glenn Seton	Peter Jackson Racing
6 Jun	ATCC Round 6	Eastern Creek Raceway	Sydney, New South Wales	Glenn Seton	Peter Jackson Racing
20 Jun	AMSCAR Round 2	Amaroo Park	Sydney, New South Wales	Mark Skaife	Winfield Racing
4 Jul	ATCC Round 7	Mallala Motor Sport Park	Mallala , South Australia	Glenn Seton	Peter Jackson Racing
11 Jul	ATCC Round 8	Barbagallo Raceway	Perth , Western Australia	Jim Richards	Winfield Racing
25 Jul	AMSCAR Round 3	Amaroo Park	Sydney, New South Wales	Paul Morris	Benson & Hedges Racing
8 Aug	ATCC Round 9	Oran Park Raceway	Sydney, New South Wales	Jim Richards	Winfield Racing
12 Sep	Sandown 500	Sandown International Raceway	Melbourne , Victoria	David Parsons Geoff Brabham	Peter Jackson Racing
4 Oct	Tooheys 1000	Mount Panorama Circuit	Bathurst , New South Wales	Larry Perkins Gregg Hansford	Castrol Perkins Racing
6 - 7 Nov	Ultimate Peter Jackson Dash	Adelaide Street Circuit	Adelaide , South Australia	Wayne Gardner	Holden Racing Team
