Rank	Title	Studio	Director	Gross
1.	Three Men and a Baby	Touchstone	Leonard Nimoy	$167,780,960
2.	Fatal Attraction	Paramount	Adrian Lyne	$156,645,693
3.	Beverly Hills Cop II	Paramount	Tony Scott	$153,665,036
4.	Good Morning, Vietnam	Touchstone	Barry Levinson	$123,922,370
5.	Moonstruck	MGM	Norman Jewison	$80,640,528
6.	The Untouchables	Paramount	Brian De Palma	$76,270,454
7.	The Secret of My Success	Universal	Herbert Ross	$66,995,000
8.	Stakeout	Touchstone	John Badham	$65,673,233
9.	Lethal Weapon	Warner Bros.	Richard Donner	$65,207,127
10.	Dirty Dancing	Vestron	Emile Ardolino	$63,892,689
11.	The Witches of Eastwick	Warner Bros.	George Miller	$63,766,510
12.	Predator	Fox	John McTiernan	$59,735,548
13.	Throw Momma from the Train	Orion	Danny DeVito	$57,915,972
14.	Dragnet	Universal	Tom Mankiewicz	$57,387,516
15.	RoboCop	Orion	Paul Verhoeven	$53,424,681
16.	Outrageous Fortune	Touchstone	Arthur Hiller	$52,864,741
17.	La Bamba	Columbia	Luis Valdez	$52,678,820
18.	Broadcast News	Fox	James L. Brooks	$51,300,000
19.	The Living Daylights	United Artists	John Glen	$51,185,000
20.	Eddie Murphy Raw	Paramount	Robert Townsend	$50,505,655
