Name	Latitude	Longitude	Diameter (km)	Year named	Name origin
Adrasthea Tesserae	30.0N	55.0E	750.0	1997	Adrastea , Greek goddess of law .
Ananke Tessera	53.3N	137.0E	1,060.0	1985	Ananke , Greek goddess of necessity .
Athena Tessera	35.0N	175.0E	1,800.0	1997	Athena , Greek goddess of wisdom .
Atropos Tessera	71.5N	304.0E	469.0	1985	Atropos , one of the Fates in Greek mythology.
Bathkol Tessera	61.0N	200.0E	1,485.0	1997	Bathkol , Israeli goddess of fate .
Chimon-mana Tessera	3.0S	270.0E	1,500.0	1997	Chimon-mana , Hopi goddess of the insane .
Clidna Tessera	42.0S	29.0E	500.0	1997	Clidna , an Irish bird goddess of the afterlife.
Clotho Tessera	56.4N	334.9E	289.0	1985	Clotho , one of the Fates in Greek mythology
Cocomama Tessera	62.0S	23.0E	1,600.0	1997	Kuka Mama , an Inca goddess of happiness.
Dekla Tessera	57.4N	71.8E	1,363.0	1985	Dekla , Latvian goddess of fate.
Dolya Tessera	8.0S	296.0E	1,100.0	1997	Dolya , East Slavic good fate goddess.
Dou-Mu Tesserae	60.0S	244.0E	400.0	1997	Dou-Mu , Chinese life/death ruling goddess.
Fortuna Tessera	69.9N	45.1E	2,801.0	1985	Fortuna , a Roman goddess of chance.
Gbadu Tessera	1.0S	38.0E	700.0	1997	Gbadu , a Fon goddess of guessing.
Gegute Tessera	17.0N	121.0E	1,600.0	1997	Gegute , a Lithuanian goddess of time.
Giltine Tesserae	39.0S	250.0E	300.0	1997	Giltine , a Lithuanian bad fate goddess.
Haasttse-baad Tessera	6.0N	127.0E	2,600.0	1997	Haasttse-badd , a Navajo good health goddess.
Hikuleo Tesserae	42.0S	54.0E	1,400.0	1997	Hikuleo , a n Tonga underworld goddess.
Humai Tessera	53.0S	250.0E	350.0	1997	Humai , an Iranian legendary bird of happiness.
Husbishag Tesserae	28.0S	101.0E	1,100.0	1997	Husbishag , a Semitic underworld goddess
Itzpapalotl Tessera	75.7N	317.6E	380.0	1985	Itzpapalotl , Aztec goddess of fate.
Kruchina Tesserae	36.0N	27.0E	1,000.0	1997	Kruchina , East Slavic goddess of saddness.
Lahevhev Tesserae	29.0N	189.0E	1,300.0	1997	Lahevhev , Melanesian dead souls goddess.
Laima Tessera	55.0N	48.5E	971.0	1985	Laima , Latvian and Lithuanian goddess of fate.
Lhamo Tessera	51.0S	15.0E	800.0	1997	Lhamo , Tibetan time and fate goddess.
Likho Tesserae	40.0N	134.0E	1,200.0	1997	Likho , East Slavic deity of bad fate.
Mago-Halmi Tesserae	70.0N	157.0E	400.0	1997	Mago-Halmi , Korean helping goddess.
Magu Tessera	52.0S	305.0E	300.0	1997	Ma Gu , Chinese goddess of immortality.
Mamitu Tesserae	22.0N	44.0E	900.0	1997	Mamitu , ian Akkad destiny goddess.
Manatum Tessera	4.0S	64.0E	3,800.0	1997	Manatum , Semitic goddess of fate.
Meni Tessera	48.1N	77.9E	454.0	1985	Meni , Semitic goddess of fate.
Meskhent Tessera	65.8N	103.1E	1,056.0	1985	Meskhenet , Egyptian goddess of fortune.
Minu-Anni Tessera	20.0S	30.0E	1,300.0	1997	Minu-Anni , Assyrian fate goddess.
Moira Tessera	58.7N	310.5E	361.0	1985	The Moirai , Greek fate goddess.
Nedolya Tesserae	5.0N	294.0E	1,200.0	1997	Nedolya , East Slavic bad fate goddess.
Nemesis Tesserae	40.0N	181.0E	355.0	1985	Nemesis , Greek goddess of fate.
Norna Tesserae	50.0S	263.0E	700.0	1997	The Norns , Norse fate goddesses
Nortia Tesserae	49.0S	160.0E	650.0	1997	Nortia , Etruscan fate goddess.
Nuahine Tessera	9.0S	157.0E	1,000.0	1997	Nuahine , Rapanui fate goddess.
Oddibjord Tessera	82.0N	85.0E	900.0	1997	Oddibjord , n Scandinavia fortune deity.
Salus Tessera	1.5S	48.5E	850.0	1997	Salus , Roman health and prosperity goddess.
Senectus Tesserae	50.0N	292.0E	1,400.0	1997	Senectus , Roman goddess of old age.
Shait Tessera	54.0S	173.5E	220.0	1997	Shait , Egyptian human destiny goddess.
Snotra Tesserae	24.0N	134.0E	1,000.0	1997	Scandinavian goddess of wisdom.
Sudenitsa Tesserae	33.0N	270.0E	4,200.0	1997	Slavic fate deities (three sisters).
Sudice Tessera	37.0S	112.0E	500.0	1997	Czech goddess of fate.
Tellus Tessera	42.6N	76.8E	2,329.0	1982	Greek Titaness
Tyche Tessera	44.0S	14.5E	575.0	1997	Greek goddess of fate.
Urd Tessera	40.0S	174.5E	250.0	1997	Norse fate goddess.
Ustrecha Tesserae	43.0S	265.0E	450.0	1997	Old Russian goddess of chance.
Vako-nana Tesserae	27.0N	40.0E	1,200.0	1997	Adygan wise predictor.
Verpeja Tesserae	58.0S	160.0E	600.0	1997	Lithuanian life thread goddess.
Yuki-Onne Tessera	39.0N	261.0E	1,200.0	1997	Japanese spirit of death.
