Week	Date	Opponent	Result	Attendance
1	September 3, 1995	at Green Bay Packers	W 17-14	60,104
2	September 10, 1995	New Orleans Saints	W 17-13	59,335
3	September 17, 1995	at Carolina Panthers	W 31-10	54,060
4	September 24, 1995	Chicago Bears	W 34-28	59,679
5	October 1, 1995	at Indianapolis Colts	L 21-18	58,616
6	Bye	Bye	Bye	Bye
7	October 12, 1995	Atlanta Falcons	W 21-19	59,700
8	October 22, 1995	San Francisco 49ers	L 44-10	59,915
9	October 29, 1995	at Philadelphia Eagles	L 20-9	62,172
10	November 5, 1995	at New Orleans Saints	L 19-10	43,120
11	November 12, 1995	Carolina Panthers	W 28-17	65,598
12	November 19, 1995	at Atlanta Falcons	L 31-6	46,309
13	November 26, 1995	at San Francisco 49ers	L 41-13	66,049
14	December 3, 1995	at New York Jets	W 23-20	52,023
15	December 10, 1995	Buffalo Bills	L 45-27	64,623
16	December 17, 1995	Washington Redskins	L 35-23	63,760
17	December 24, 1995	Miami Dolphins	L 41-22	63,876
