Date	Visitor	Score	Home	Decision	Attendance	Record
February 2	Atlanta	2 - 0	Washington	Kolzig	17,205	24-24-5
February 5	Washington	4 - 3	Columbus	Johnson	14,450	25-24-5
February 6	Washington	4 - 3	Philadelphia	Kolzig	19,778	26-24-5
February 8	Carolina	2 - 1	Washington	Johnson	18,204	26-25-5
February 10	NY Rangers	2 - 3	Washington	Kolzig	17,873	27-25-5
February 13	Washington	2 - 3	Atlanta	Kolzig	15,285	27-25-6
February 15	Washington	2 - 4	Florida	Johnson	16,202	27-26-6
February 16	Washington	3 - 2	Tampa Bay	Kolzig	20,454	28-26-6
February 20	NY Islanders	3 - 2	Washington	Kolzig	17,584	28-26-7
February 23	Washington	3 - 6	Carolina	Kolzig	18,680	28-27-7
February 24	New Jersey	2 - 1	Washington	Johnson	18,277	28-27-8
February 26	Minnesota	1 - 4	Washington	Kolzig	17,391	29-27-8
February 29	Washington	4 - 0	New Jersey	Huet	16,580	30-27-8
