Year	Entrant	Chassis	Engine	Points
1956	Giorgio Scarlatti	Ferrari 500	Ferrari Straight-4	0
1956	Scuderia Centro Sud	Ferrari 500	Ferrari Straight-4	0
1957	Officine Alfieri Maserati	Maserati 250F	Maserati Straight-6	1
1958	Giorgio Scarlatti	Maserati 250F	Maserati Straight-6	0
1959	Scuderia Ugolini	Maserati 250F	Maserati Straight-6	0
1959	Cooper Car Company	Cooper T51	Climax Straight-4	0
1960	Giorgio Scarlatti	Maserati 250F	Maserati Straight-6	0
1960	Scuderia Castellotti	Cooper T51	Ferrari Straight-4	0
1960	Scuderia Centro Sud	Cooper T51	Maserati Straight-4	0
1961	Scuderia Serenissima	De Tomaso F1 001	O.S.C.A. Straight-4	0
1961	Scuderia Serenissima	De Tomaso F1 001	Alfa Romeo Straight-4	0
