Rank	Heat	Cyclist	Nation	Result
1	6	Wendy Houvenaghel	Great Britain	3:28.443
2	7	Rebecca Romero	Great Britain	3:28.641
3	5	Lesya Kalitovska	Ukraine	3:31.942
4	5	Alison Shanks	New Zealand	3:34.312
5	6	Sarah Hammer	United States	3:35.471
6	4	Vilija Sereikaitė	Lithuania	3:36.063
7	7	Katie Mactier	Australia	3:38.178
8	2	Lada Kozlíková	Czech Republic	3:39.561
9	3	Karin Thürig	Switzerland	3:40.862
10	4	María Luisa Calle	Colombia	3:41.175
11	3	Verena Jooss	Germany	3:44.480
12	2	Svetlana Pauliukaitė	Lithuania	3:45.691
13	1	Evelyn García	El Salvador	3:56.849
