Colliery	Location	Date	Year	Death toll	cause
Dinas Colliery	Dinas	1 January	1844	12	gas explosion
Cymmer Colliery	Cymmer	15 July	1856	112	gas explosion
Ferndale No. 1 Pit	Blaenllechau	8 November	1867	178	gas explosion
Ferndale No. 1 Pit	Blaenllechau	10 June	1869	53	gas explosion
Pentre Colliery	Pentre	24 February	1871	38	gas explosion
Tynewydd Colliery	Porth	11 April	1877	5	flooding
Dinas Middle Colliery	Dinas	13 January	1879	63	gas explosion
Naval Colliery	Penygraig	10 December	1880	101	gas explosion
Gelli Colliery	Gelli	21 August	1883	5	gas explosion
Naval Colliery	Penygraig	27 January	1884	14	gas explosion
Maerdy Colliery	Maerdy	23–24 December	1885	81	gas explosion
National Colliery	Wattstown	18 February	1887	39	gas explosion
Tylorstown Colliery	Tylorstown	27 January	1896	57	gas explosion
National Colliery	Wattstown	11 July	1905	120	gas explosion
Cambrian Colliery No.1	Clydach Vale	10 March	1905	34	gas explosion
Naval Colliery	Penygraig	27 August	1909	6	cage fall
Glamorgan Colliery	Llwynypia	25 January	1932	11	firedamp
Blaenclydach Colliery	Clydach Vale	25 November	1941	7	runaway trolly
Lewis Merthyr Colliery	Trehafod	22 November	1956	9	gas explosion
Cambrian Colliery	Clydach Vale	17 May	1965	31	gas explosion
