Competition	Round	Opponent	Result	Score	Home/Away	Venue	Attendance	Date
Friendly	N/A	Leeds Rhinos	Win	16-20	Away	Headingley Stadium	5329	26/01/2009
Friendly	N/A	Dewsbury Rams	Loss	30-26	Away	The Tetley's Stadium	1446	01/02/2009
Super League XIV	1	Wigan Warriors	Win	18-10	Home	KC Stadium	14523	13/02/2009
Super League XIV	2	Crusaders	Win	20-28	Away	Brewery Field	5272	21/02/2009
Super League XIV	3	Catalans Dragons	Win	28-12	Home	KC Stadium	12482	27/02/2009
Super League XIV	4	Huddersfield Giants	Win	20-24	Away	Galpharm Stadium	10459	06/03/2009
Super League XIV	5	Bradford Bulls	Win	24-36	Away	Grattan Stadium	11327	15/03/2009
Super League XIV	6	Castleford Tigers	Loss	18-19	Home	KC Stadium	14028	20/03/2009
Super League XIV	7	Harlequins RL	Loss	22-12	Away	The Twickenham Stoop	3593	28/03/2009
Challenge Cup 2009	4	Salford City Reds	Loss	18-22	Home	KC Stadium	8945	05/04/2009
Super League XIV	8	Hull Kingston Rovers	Loss	14-18	Home	KC Stadium	22337	10/04/2009
Super League XIV	9	St Helens RLFC	Loss	44-22	Away	GPW Recruitment Stadium	13684	13/04/2009
Super League XIV	10	Wakefield Trinity Wildcats	Loss	14-21	Home	KC Stadium	11975	17/04/2009
Super League XIV	11	Salford City Reds	Win	14-18	Away	The Willows	4165	25/04/2009
Super League XIV	12	Castleford Tigers	Win	24-16	Neutral	Murrayfield Stadium	30122	03/05/2009
Super League XIV	13	Warrington Wolves	Loss	16-18	Home	KC Stadium	10997	16/05/2009
Super League XIV	14	Leeds Rhinos	Loss	46-16	Away	Headingley Stadium	15929	22/05/2009
Super League XIV	15	St Helens RLFC	Loss	30-6	Home	KC Stadium	12009	05/06/2009
Super League XIV	16	Wakefield Trinity Wildcats	Loss	37-22	Away	Belle Vue	4721	13/06/2009
Super League XIV	17	Salford City Reds	Win	14-12	Home	KC Stadium	11218	19/06/2009
Super League XIV	18	Warrington Wolves	Loss	24-12	Away	Halliwell Jones Stadium	9170	28/06/2009
Super League XIV	19	Leeds Rhinos	Loss	30-43	Home	KC Stadium	11780	03/07/2009
Super League XIV	20	Castleford Tigers	Loss	40-18	Away	The Jungle	8297	12/07/2009
Super League XIV	21	Celtic Crusaders	Win	22-6	Home	KC Stadium	10397	17/07/2009
Super League XIV	22	Hull Kingston Rovers	Loss	24-18	Away	New Craven Park	9450	25/07/2009
Super League XIV	23	Huddersfield Giants	Loss	0-24	Home	KC Stadium	11191	31/07/2009
Super League XIV	24	Catalans Dragons	Loss	18-6	Away	Stade de la Méditerranée	9800	15/08/2009
Super League XIV	25	Harlequins RL	Win	26-6	Home	KC Stadium	15592	21/08/2009
Super League XIV	26	Wigan Warriors	Loss	34-22	Away	DW Stadium	12491	04/09/2009
