Game	Date	Opponent	Score	Location	Record
2	Sat. Nov. 1	@ Milwaukee Bucks	105-111	Milwaukee Arena (MECCA)	1-1
3	Wed. Nov. 5	Indiana Pacers	133-102	Boston Garden	2-1
4	Fri. Nov. 7	@Washington Bullets	88-86	Capital Centre	3-1
5	Tue. Nov. 11	@ New Jersey Nets	110-114	Brendan Byrne Arena	3-2
6	Wed. Nov. 12	Milwaukee Bucks	124-116	Boston Garden	4-2
7	Fri. Nov. 14	@ Chicago Bulls	124-105	Chicago Stadium	5-2
8	Sat. Nov. 15	@ Detroit Pistons	118-111	Pontiac Silverdome	6-2
9	Wed. Nov. 19	Atlanta Hawks	111-107	Boston Garden	7-2
10	Fri. Nov. 21	Golden State Warriors	135-120	Boston Garden	8-2
11	Sat. Nov. 22	@ Atlanta Hawks	96-97	The Omni	8-3
12	Tue. Nov. 25	@ Philadelphia 76ers	100-102	The Spectrum	8-4
13	Wed. Nov. 26	New York Knicks	101-90	Boston Garden	9-4
14	Fri. Nov. 28	San Antonio Spurs	111-96	Boston Garden	10-4
