Season	Competition	Round	Club	Score
1967/1968	Inter-Cities Fairs Cup	1st round	Rangers F.C.	1:1, 1:2
1970/1971	Inter-Cities Fairs Cup	1st round	FK Partizan	0:0, 6:0
1970/1971	Inter-Cities Fairs Cup	2nd round	Leeds United	0:1, 2:1
1971/1972	European Clubs' Champions Cup	1st round	Ajax Amsterdam	0:2, 0:0
1972/1973	UEFA Cup	1st round	VÖEST Linz	2:0, 2:2
1972/1973	UEFA Cup	2nd round	Ruch Chorzów	1:0, 3:0
1972/1973	UEFA Cup	Last 16	FC Porto	2:1, 1:0
1972/1973	UEFA Cup	Quarter final	Liverpool	0:2, 0:1
1973/1974	European Clubs' Champions Cup	1st round	Juventus	2:0, 2:3
1973/1974	European Clubs' Champions Cup	Last 16	Bayern Munich	3:4, 3:3
1974/1975	UEFA Cup	1st round	Randers Freja	1:1, 0:0
1974/1975	UEFA Cup	2nd round	Dynamo Moscow	1:0, 0:1 (4:3 a.p.)
1974/1975	UEFA Cup	Last 16	Hamburger SV	1:4, 2:2
1975/1976	UEFA Cup	1st round	ASA Târgu Mures	2:2, 4:1
1975/1976	UEFA Cup	2nd round	Budapest Honvéd FC	2:2, 3:0
1975/1976	UEFA Cup	Last 16	Torpedo Moscow	3:0, 1:1
1975/1976	UEFA Cup	Quarter final	Liverpool	0:0, 1:2
1976/1977	European Clubs' Champions Cup	1st round	S.L. Benfica	2:0, 0:0
1976/1977	European Clubs' Champions Cup	Last 16	Ferencvaros	0:1, 4:0
1976/1977	European Clubs' Champions Cup	Quarter final	FC Zürich	1:2, 3:2
1977/1978	European Clubs' Champions Cup	1st round	Halmstads BK	2:0, 1:2
1977/1978	European Clubs' Champions Cup	Last 16	Liverpool	1:5, 2:1
1978/1979	European Clubs' Champions Cup	1st round	FK Partizan	0:2, 2:0 (5:4 a.p.)
1978/1979	European Clubs' Champions Cup	Last 16	Bohemian F.C.	0:0, 6:0
1978/1979	European Clubs' Champions Cup	Quarter final	FK Austria Wien	1:3, 1:0
1979/1980	UEFA Cup	1st round	Atlético Madrid	2:1, 3:0
1979/1980	UEFA Cup	2nd round	VfB Stuttgart	1:1, 0:0
1980/1981	UEFA Cup	1st round	FK Napredak Kruševac	1:0, 1:0
1980/1981	UEFA Cup	2nd round	FC Twente	1:1, 0:0
1980/1981	UEFA Cup	Last 16	Standard Liège	1:1, 1:4
1981/1982	UEFA Cup	1st round	Zenit Leningrad	2:1, 4:1
1981/1982	UEFA Cup	2nd round	Feyenoord Rotterdam	1:2, 1:1
1982/1983	UEFA Cup Winners' Cup	1st round	B93 Kopenhagen	2:0, 1:5
1984/1985	UEFA Cup Winners' Cup	1st round	Malmö FF	0:2, 4:1
1984/1985	UEFA Cup Winners' Cup	Last 16	FC Metz	3:1, 0:0
1984/1985	UEFA Cup Winners' Cup	Quarter final	SK Rapid Wien	3:0, 0:5
1985/1986	UEFA Cup Winners' Cup	1st round	Cercle Brugge	2:3, 2:1
1985/1986	UEFA Cup Winners' Cup	Last 16	HJK Helsinki	0:1, 7:2
1985/1986	UEFA Cup Winners' Cup	Quarter final	Bayer Uerdingen	2:0, 3:7
1987/1988	UEFA Cup	1st round	Spartak Moscow	0:3, 1:0
1988/1989	UEFA Cup	1st round	Aberdeen	0:0, 2:0
1988/1989	UEFA Cup	2nd round	K.S.V. Waregem	4:1, 1:2
1988/1989	UEFA Cup	Last 16	AS Roma	2–0, 2–0
1988/1989	UEFA Cup	Quarter final	Victoria Bucuresti	1:1, 4:0
1988/1989	UEFA Cup	Semi-final	VfB Stuttgart	0:1, 1:1
1989/1990	European Clubs' Champions Cup	1st round	AEK Athens FC	1:0, 3:5
1990/1991	European Clubs' Champions Cup	1st round	Union Luxembourg	3:1, 3:0
1990/1991	European Clubs' Champions Cup	Last 16	Malmö FF	1:1, 1:1 (5:4 a.p.)
1990/1991	European Clubs' Champions Cup	Quarter final	Red Star Belgrade	0:3, 0:3 (match abandoned)
