Date	Visitor	Score	Home	Record
February 2	Montreal	5–2	Vancouver	15–31–5
February 6	New York	5–4	Vancouver	15–32–5
February 9	Buffalo	3–6	Vancouver	16–32–5
February 12	Detroit	3–5	Vancouver	17–32–5
February 14	Vancouver	1–3	Chicago	17–33–5
February 16	Boston	4–5	Vancouver	18–33–5
February 19	Philadelphia	3–2	Vancouver	18–34–5
February 22	Montreal	3–3	Vancouver	18–34–6
February 25	Vancouver	3–8	Boston	18–35–6
February 27	Vancouver	1–8	Philadelphia	18–36–6
February 28	Vancouver	2–4	New York	18–37–6
