Film	Director(s)	Writer(s)	Recipient	Date	Award
Mercy	Candida Scott Knight	Tina Walker	Maya Vision International Ltd	3/3/04	£7,800
No Deposit, No Return	Dallas Campbell	Dallas Campbell , John Edwards	Rocliffe Ltd	3/3/04	£4,360
6.6.04	Simon Hook	Simon Hook , Jayne Kirkham	Andrew Wilson	3/3/04	£1,939
Bushido: The Way of the Warrior	Susan Jacobson	Susan Jacobson , Anna Reeves	Pistachio Pictures Ltd	3/3/04	£3,386
Jamaica	Martin Scanlan	Martin Scanlan	Prussia Lane Productions Ltd	3/3/04	£6,947
Flowers and Coins	Joshua Neale	Neil Henry , Joshua Neale	Joshua Neale	3/3/04	£3,740
Moving On	Albert Kodagolian	Dusan Tolmac	Albert Kodagolian	3/3/04	£6,504
Stalin, My Neighbour	Carol Morley	Carol Morley	Cannon and Morley Productions Ltd	3/3/04	£5,750
Hotel Infinity	Amanda Boyle	Amanda Boyle	Picture Farm Ltd	3/3/04	£9,549
Traffic Warden	Donald Rice	Donald Rice	Clockwork Pictures Ltd	3/3/04	£6,947
