Year	Sports	Competitors	Gold	Silver	Bronze	Total
1924 Chamonix	1	4	0	0	0	0
1928 St. Moritz	1	6	0	0	0	0
1932 Lake Placid	did not participate	did not participate	did not participate	did not participate	did not participate	did not participate
1936 Garmisch-Partenkirchen	4	17	0	0	0	0
1948 St. Moritz	4	17	0	0	0	0
1952 Oslo	3	6	0	0	0	0
1956 Cortina d'Ampezzo	3	17	0	0	0	0
1960 Squaw Valley	did not participate	did not participate	did not participate	did not participate	did not participate	did not participate
1964 Innsbruck	4	31	0	0	0	0
1968 Grenoble	4	30	0	0	0	0
1972 Sapporo	4	26	0	0	0	0
1976 Innsbruck	4	28	0	0	0	0
1980 Lake Placid	5	15	0	0	0	0
1984 Sarajevo (host nation)	10	72	0	1	0	1
1988 Calgary	7	22	0	2	1	3
1992 Albertville	6	25	0	0	0	0
Total	Total	Total	0	3	1	4
