Date	Tournament	Location	Opponent team	Score
23 July 2008	Friendly	Cremona, Italy	Cremonese	0–0
29 July 2008	2008 TIM Trophy	Turin, Italy	Juventus	2–2(6–4 p )
29 July 2008	2008 TIM Trophy	Turin, Italy	Internazionale	0–0(4–3 p )
1 August 2008	2008 Russian Railways Cup	Moscow , Russia	Sevilla	0–1
3 August 2008	2008 Russian Railways Cup	Moscow , Russia	Chelsea	0–5
9 August 2008	Friendly	Manchester , England	Manchester City	0–1
17 August 2008	2008 Trofeo Luigi Berlusconi	Milan , Italy	Juventus	4–1
21 August 2008	2008 Trofeo Birra Moretti	Naples , Italy	Napoli	1–0
21 August 2008	2008 Trofeo Birra Moretti	Naples , Italy	Juventus	0–0(4–5 p )
24 August 2008	2008 Trofeo Villa de Gijón	Gijon , Spain	Sporting de Gijón	0–2
10 September 2008	Friendly	Lugano , Switzerland	Lugano	0–2
14 October 2008	Friendly	Tirana , Albania	Tirana	1–2
7 January 2009	Dubai Challenge Cup	Dubai , United Arab Emirates	Hamburger	1–1(4–3 p )
21 January 2009	Friendly	Hannover , Germany	Hannover	3–2
4 February 2009	Friendly	Glasgow , Scotland	Rangers	2–2
22 April 2009	Friendly	Budapest , Hungary	Hungary's league selection	5–2
