Country	2006	2005	2004	2003
Singapore	1	1	2	4
Switzerland	2	3	3	2
United States	3	4	7	11
Ireland	4	2	1	1
Denmark	5	7	10	6
Canada	6	6	6	7
Netherlands	7	5	4	5
Australia	8	13	13	21
Austria	9	9	9	8
Sweden	10	8	11	3
New Zealand	11	11	8	16
United Kingdom	12	13	12	9
Finland	13	10	5	10
Norway	14	14	17	13
Israel	15	17	22	19
Czech Republic	16	15	14	15
Slovenia	17	20	19	25
Germany	18	21	18	17
Malaysia	19	19	20	18
Hungary	20	23	26	23
Panama	21	24	27	30
Croatia	22	16	23	22
France	23	18	15	12
Portugal	24	22	16	14
Spain	25	26	24	20
Slovakia	26	25	21	27
Italy	27	27	25	24
Japan	28	28	29	35
South Korea	29	30	32	28
Romania	30	35	39	40
Philippines	31	32	33	54
Greece	32	29	28	26
Poland	33	31	31	32
Chile	34	34	37	31
Republic of China (Taiwan)	35	36	36	34
Uganda	36	33	38	36
Tunisia	37	37	35	39
Botswana	38	38	30	33
Ukraine	39	39	43	43
Morocco	40	40	47	29
Senegal	41	41	40	42
Mexico	42	42	45	51
Argentina	43	47	34	50
Saudi Arabia	44	45	41	41
Thailand	45	46	48	49
Sri Lanka	46	43	51	45
Russia	47	52	44	46
Nigeria	48	44	42	37
South Africa	49	48	49	38
Peru	50	53	52	60
China	51	54	57	53
Brazil	52	57	53	58
Kenya	53	49	54	44
Colombia	54	51	50	56
Egypt	55	59	60	48
Pakistan	56	50	46	52
Turkey	57	56	55	47
Bangladesh	58	58	56	55
Venezuela	59	55	58	61
Indonesia	60	60	59	59
India	61	61	61	57
Iran	62	62	62	62
