Week	Date	Opponent	Result	Attendance
1	September 9, 2007	at Oakland Raiders	W 36-21	61,547
2	September 16, 2007	Minnesota Vikings	W 20-17 (OT)	61,771
3	September 23, 2007	at Philadelphia Eagles	L 21-56	67,570
4	September 30, 2007	Chicago Bears	W 37-27	60,811
5	October 7, 2007	at Washington Redskins	L 3-34	88,944
6	Bye	Bye	Bye	Bye
7	October 21, 2007	Tampa Bay Buccaneers	W 23-16	60,442
8	October 28, 2007	at Chicago Bears	W 16-7	62,171
9	November 4, 2007	Denver Broncos	W 44-7	60,783
10	November 11, 2007	at Arizona Cardinals	L 21-31	64,753
11	November 18, 2007	New York Giants	L 10-16	60,675
12	November 22, 2007	Green Bay Packers	L 26-37	63,257
13	December 2, 2007	at Minnesota Vikings	L 10-42	62,996
14	December 9, 2007	Dallas Cowboys	L 27-28	62,759
15	December 16, 2007	at San Diego Chargers	L 14-51	66,505
16	December 23, 2007	Kansas City Chiefs	W 25-20	59,938
17	December 30, 2007	at Green Bay Packers	L 13-34	70,869
