N°	Television service	Country	Language	Content	DAR	HDTV	PPV	Package/Option
981	ContoTV 1	Italy	Italian	general television	4:3	no	yes	qualsiasi
982	ContoTV 2	Italy	Italian	general television	4:3	no	yes	qualsiasi
983	ContoTV 3	Italy	Italian	general television	16:9	no	no	qualsiasi
984	ContoTV 4	Italy	Italian	programmi per adulti 24h/24	4:3	no	no	qualsiasi
985	ContoTV 5	Italy	Italian	programmi per adulti 24h/24	4:3	no	no	qualsiasi
987	Teleitalia	Italy	Italian	general television	4:3	no	yes	qualsiasi ( FTA )
988	Teleitalia Spot	Italy	Italian	general television	4:3	no	yes	qualsiasi ( FTA )
989	D-XTV	Italy	Italian	programmi per adulti 24h/24	4:3	no	yes	qualsiasi
990	R-LIGHT	Italy	Italian	programmi per adulti 24h/24	4:3	no	yes	qualsiasi
991	SCT	Italy	Italian	programmi per adulti 24h/24	4:3	no	yes	qualsiasi
992	BOY&BOY	Italy	Italian	programmi per adulti 24h/24	4:3	no	yes	qualsiasi
993	PRIVÈ	Italy	Italian	programmi per adulti 24h/24	4:3	no	yes	qualsiasi
994	THEMEX	Italy	Italian	programmi per adulti 24h/24	4:3	no	yes	qualsiasi
