Date	Location	Country	Event	Winner	Runner-up
February 28-March 12	Gold Coast	Australia	Quiksilver Pro	Kelly Slater ( USA )	Taj Burrow ( AUS )
April 11-April 21	Bells Beach	Australia	Rip Curl Pro	Kelly Slater ( USA )	Joel Parkinson ( AUS )
May 4-May 16	Teahupoo , Tahiti	French Polynesia	Billabong Pro	Bobby Martinez ( USA )	Frederick Patacchia ( HAW )
May 21-June 2	Tavarua	Fiji	Globe Pro Fiji	Damien Hobgood ( USA )	Shaun Cansdell ( AUS )
June 20-July 1	Huatulco	Mexico	Rip Curl Pro Search	Andy Irons ( HAW )	Taylor Knox ( USA )
July 12-July 22	Jeffreys Bay	South Africa	Billabong Pro	Mick Fanning ( AUS )	Taj Burrow ( AUS )
September 12-September 16	Trestles	United States	Boost Mobile Pro	Bede Durbidge ( AUS )	Kelly Slater ( USA )
September 22-October 1	Hossegor	France	Quiksilver Pro	Joel Parkinson ( AUS )	Mick Fanning ( AUS )
October 2-October 14	Mundaka	Spain	Billabong Pro	Bobby Martinez ( USA )	Kelly Slater ( USA )
October 30-November 8	Imbituba	Brazil	Nova Schin Festival	Mick Fanning ( AUS )	Damien Hobgood ( USA )
December 8-December 20	Pipeline , Hawaii	United States	Rip Curl Pipeline Masters	Andy Irons ( HAW )	Kelly Slater ( USA )
