Year (Ceremony)	Film title used in nomination	Slovak title	Director	Result
1993 (66th)	Everything I Like	Všetko čo mám rád	Martin Šulík Category:Articles with hCards	Not Nominated
1994 (67th)	Angel of Mercy	Anjel milosrdenstva	Miloslav Luther Category:Articles with hCards	Not Nominated
1995 (68th)	The Garden	Záhrada	Martin Šulík Category:Articles with hCards	Not Nominated
1997 (70th)	Orbis Pictus	Orbis Pictus	Martin Šulík Category:Articles with hCards	Not Nominated
1998 (71st)	Rivers of Babylon	Rivers of Babylon	Vladimír Balco Category:Articles with hCards	Not Nominated
1999 (72nd)	All My Loved Ones	Všichni moji blízcí	Matej Mináč Category:Articles with hCards	Not Nominated
2000 (73rd)	Landscape	Krajinka	Martin Šulík Category:Articles with hCards	Not Nominated
2002 (75th)	Cruel Joys	Kruté radosti	Juraj Nvota Category:Articles with hCards	Not Nominated
2003 (76th)	The King of Thieves	Král zlodejov	Ivan Fíla Category:Articles with hCards	Not Nominated
2005: (78th)	City of the Sun	Slnečný štát	Martin Šulík Category:Articles with hCards	Not Nominated
2007 (80th)	Return of the Storks	Návrat bocianov	Martin Repka Category:Articles with hCards	Not Nominated
2008 (81st)	Blind Loves	Slepe lásky	Juraj Lehotský Category:Articles with hCards	Not Nominated
2009 (82nd)	Broken Promise	Nedodržaný sľub	Jiří Chlumský Category:Articles with hCards	Not Nominated
2010 (83rd)	The Border	Hranica	Jaroslav Vojtek Category:Articles with hCards	Not Nominated
2011 (84th)	Gypsy	Cigán	Martin Šulík Category:Articles with hCards	Not Nominated
2012 (85th)	Made in Ash	Až do mesta Aš	Iveta Grófová Category:Articles with hCards	Not Nominated
