University	Location	Established	Endowment as of 2008	Campus Area (acres)	Kiplingers Top 100 Values	Enrollment as of 2008
Florida A&M University	Tallahassee, Florida	1887	$119 million	419	N/A	11567
Florida Atlantic University	Boca Raton, Florida	1961	$182 million	850	N/A	26525
Florida Gulf Coast University	Fort Myers, Florida	1991	$39 million	760	N/A	9387
Florida International University	Miami, Florida	1965	$97 million	573	N/A	38614
Florida State University	Tallahassee, Florida	1851	$570 million	1200	17th overall in the United States	41002
New College of Florida	Sarasota, Florida	1960	$33 million	144	8th overall in the United States	769
University of Central Florida	Orlando, Florida	1963	$114 million	1415	42nd overall in the United States	48699
University of Florida	Gainesville, Florida	1853	$1.3 billion	2000	2nd overall in the United States	52084
University of North Florida	Jacksonville, Florida	1969	$95 million	1300	N/A	16570
University of South Florida	Tampa, Florida	1956	$360 million	1913	75th overall in the United States	45524
