Week	Date	Opponent	Result	Attendance
1	September 1, 1991	Cincinnati Bengals	W 45–14	72,855
2	September 8, 1991	at Los Angeles Raiders	L 16–13	48,569
3	September 15, 1991	Seattle Seahawks	W 16–10	74,152
4	September 22, 1991	San Diego Chargers	W 27–19	73,258
5	September 29, 1991	at Minnesota Vikings	W 13–6	55,031
6	October 6, 1991	at Houston Oilers	L 42–14	59,145
7	Bye	Bye	Bye	Bye
8	October 20, 1991	Kansas City Chiefs	W 19–16	75,866
9	October 27, 1991	at New England Patriots	W 9–6	43,994
10	November 3, 1991	Pittsburgh Steelers	W 20–13	70,973
11	November 10, 1991	Los Angeles Raiders	L 17–16	75,896
12	November 17, 1991	at Kansas City Chiefs	W 24–20	74,661
13	November 24, 1991	at Seattle Seahawks	L 13–10	60,430
14	December 1, 1991	New England Patriots	W 20–3	67,116
15	December 8, 1991	at Cleveland Browns	W 17–7	73,539
16	December 15, 1991	Phoenix Cardinals	W 24–19	74,098
17	December 22, 1991	at San Diego Chargers	W 17–14	51,449
