Name	Creator	Platform / OS	First public release	Latest stable release	Open source	Programming language used
AgileJ StructureViews	AgileJ	Cross-platform (Java)	2006-08-08	2013-04-20	No	Java
Altova UModel	Altova	Windows	2005-05	2013-06-12	No	Java, C#, Visual Basic
ArgoUML	Tigris.org	Cross-platform (Java)	1998-04	2011-12-15	Yes	Java
Artisan Studio	Atego.com	Windows	1997	2012	No	C,C++,C#,Java,VB
astah*	Change Vision, Inc.	Multi-platform	Unknown	2012-03-22	No	Java, C++, C#
ATL	Obeo, INRIA Free software community	Cross-platform (Java)	Unknown	2010-06-23	Yes	Java
Borland Together	Borland	Cross-platform (Java)	Unknown	2008	No	Unknown
BOUML	Bruno Pagès	Cross-platform	Unknown	2013-03-24	No	C++/Qt
CaseComplete	Serlio Software	Windows	2004	2013-04	No	C#
Creately for UML	Cinergix, Pty Ltd	Windows, Linux, MacOS	2009-09	Unknown	No	Flex / Flash
Dia	Alexander Larsson/GNOME Office	Cross-platform (GTK+)	2004?	2011-12-18	Yes	C
Eclipse UML2 Tools	Eclipse Foundation	Cross-platform (Java)	Planning	Planned	Yes	Java
Enterprise Architect	Sparx Systems	Windows (Supports Linux & Mac installation)	2000	2013-01-31	No	C, C++, C#, Java, PHP, Delphi, VB, Actionscript
Gaphor	Gaphor team	Cross-platform (PyGTK)	Unknown	2011-02-10	Yes	Python
GenMyModel	Axellience, INRIA	Cross-platform (web-based)	2012-10-01	2013-07-10	No	Javascript, HTML5
LucidChart	Lucid Software	Windows, Mac, Linux, Solaris	2008-12	2010-07-31	No	HTML5 and Javascript
MagicDraw UML	No Magic	Cross-platform (Java)	1998	2012-12-11	No	Java
Microsoft Visio	Microsoft	Windows	1992	2012-12-11	No	Unknown
Modelio	Modeliosoft	Windows, Linux	2009	2013-09-24	Yes	Java, C++
Modelus Suite	Vektiva	Cross platform (flash)	2013	2013-07-16	No	Flash AS3
MyEclipse	Genuitec	Windows, Linux	2003	Unknown	No	Java
NClass	Balazs Tihanyi	Windows, Mac, Linux, Unix	2006-10-15	2011-06-06	Yes	C#
NetBeans IDE	Oracle Corporation	Windows, Mac, Linux, Unix	1996	2013-02-21	Yes	Java
Objecteering	Objecteering Software	Windows, Linux	1992	Unknown	No	Unknown
objectiF	microTOOL	Windows	1992	2010-09-21	No	Java, C#, C++
Open ModelSphere	Grandite	Cross-platform (Java)	2002-02	2009-11-04	Yes	Java
Papyrus	Commissariat à l'Énergie Atomique , Atos Origin	Windows, Linux (Java)	Unknown	2013-02-13	Yes	Java
PlantUML	Arnaud Roques	Cross-platform (Java)	2009-04-22	2013-07-03	Yes	Java
Poseidon for UML	Gentleware	Cross-platform (Java)	Unknown	2009	No	Java
PowerDesigner	Sybase	Windows	1989	2011	No	Unknown
Rational Rhapsody	IBM	Windows, Linux, MacOSX	1996	2011-12-13	No	C++
Rational Rose XDE	IBM	Windows, Linux, Unix	Unknown	Unknown	No	Unknown
Rational Software Architect	IBM	Windows, Linux	Early 1990s	2012-07-06	No	Java/C++
Rational Software Modeler	IBM	Windows, Linux	2004-10-13	2008-09	No	Unknown
Rational System Architect	IBM	Windows	Unknown	2013-03-15	No	Unknown
RISE	RISE to Bloome Software	Windows (.NET)	2008	2010-09-03	No	C#
RTDS	PragmaDev	Windows, Linux, Solaris	2002-02-11	2012-04-06	No	Python, C++
Software Ideas Modeler	Dusan Rodina	Windows (.NET), Linux (Mono)	2009-08-06	2013-09-01	No	C#
StarUML	Plastic Software	Windows	2005-11-01	2006-08-07	Yes	Delphi
Umbrello UML Modeller	Umbrello Team	Unix-like; Windows	2006-09-09	2009-08-04	Yes	C++, KDE
UML Designer	Obeo	Cross-platform (Java)	2011-12-02	2013-02-22	Yes	Java
UML Pad	Unknown	Windows	Unknown	Unknown	Yes	C++/ wxWidgets
UMLet	The UMLet Team	Windows, MacOSX, Linux	2005-11-05	2013-03-23	Yes	Java
Violet UML Editor	Cay S. Horstmann and Alexandre de Pellegrin	Cross-platform (Java)	2007-02-27	2007-07-24	Yes	Java
Visual Paradigm for UML	Visual Paradigm Int'l Ltd.	Cross-platform (Java)	2002-06-20	2013-01-21	No	Java
Visustin	Aivosto Oy	Windows	Unknown	2012-11	No	Unknown
WhiteStarUML	Janusz Szpilewski	Windows	2011-12-18	2013-03-28	Yes	Delphi
yEd	yWorks GmbH	Windows, Mac, Linux, Unix	Unknown	2012-06-07	No	Java
Name	Creator	Platform / OS	First public release	Latest stable release	Open source	Programming language used
