Name	Volume	Engine	Fuel	Output	Torque	Engine ID code(s)	0–100km/h,s	Top speed	CO 2	Years
1.4 16v	1390 cc	4cyl	Petrol	PS (kW; hp) @5000 rpm	N·m (lb·ft) @3300 rpm	AHW/AXP/BCA	15.6	km/h (mph)	163 g / km	1999–2006
1.6 8v	1595 cc	4cyl	Petrol	PS (kW; hp) @5600 rpm	N·m (lb·ft) @3800 rpm	AEH/AKL/APF	11.9	km/h (mph)	180 g/km	1999–2000
1.6 8v	1595 cc	4cyl	Petrol	PS (kW; hp) @5600 rpm	N·m (lb·ft) @3800 rpm	AVU/BFQ	12.1	km/h (mph)	170 g/km	2000–2006
1.6 16v	1598 cc	4cyl	Petrol	PS (kW; hp) @5700 rpm	N·m (lb·ft) @4500 rpm	AUS/AZD/ATN/BCB	11.9	km/h (mph)	168 g/km	2000–2006
1.6 16v FSI	1598 cc	4cyl	Petrol	PS (kW; hp) @5800 rpm	N·m (lb·ft) @4400 rpm	BAD	11.7	km/h (mph)	151 g/km	2001–2006
1.8 20v Turbo	1781 cc	4cyl	Petrol	PS (kW; hp) @5700 rpm	N·m (lb·ft) @1750–4600 rpm	AUM	9.2	km/h (mph)	190 g/km	2000–2006
2.0 8v	1984 cc	4cyl	Petrol	PS (kW; hp) @5200 rpm	N·m (lb·ft) @2400 rpm	APK/AQY	11.4	km/h (mph)	192 g/km	1999–2001
2.0 8v [1]	1984 cc	4cyl	Petrol	PS (kW; hp) @5400 rpm	N·m (lb·ft) @3200 rpm	AZG/AZJ/AZH	11.4	km/h (mph)	192 g/km	2001–2006
2.3 10v [1]	2324 cc	VR5	Petrol	PS (kW; hp) @6000 rpm	N·m (lb·ft) @3200 rpm	AGZ	9.4	km/h (mph)	226 g/km	1999–2000
2.3 20v [1]	2324 cc	VR5	Petrol	PS (kW; hp) @6200 rpm	N·m (lb·ft) @3300 rpm	AQN	8.2	km/h (mph)	209 g/km	2000–2003
2.8 24v [1]	2792 cc	VR6	Petrol	PS (kW; hp) @6000 rpm	N·m (lb·ft) @3200 rpm	AQP/AUE/BDE	7.6	km/h (mph)	264 g/km	1999–2003
1.9 8v SDI	1896 cc	4cyl	Diesel	PS (kW; hp) @4200 rpm	N·m (lb·ft) @2200–2600 rpm	AGP/AQM	18.7	km/h (mph)	140 g/km	1999–2006
1.9 8v TDI	1896 cc	4cyl	Diesel	PS (kW; hp) @3750 rpm	N·m (lb·ft) @1900 rpm	AGR/ALH	13.2	km/h (mph)	135 g/km	1999–2001
1.9 8v TDI	1896 cc	4cyl	Diesel	PS (kW; hp) @4000 rpm	N·m (lb·ft) @1900 rpm	AHF/ASV	11.3	km/h (mph)	135 g/km	1999–2001
1.9 8v TD I PD [1]	1896 cc	4cyl	Diesel	PS (kW; hp) @4000 rpm	N·m (lb·ft) @1800–2400 rpm	ATD/AXR	12.7	km/h (mph)	140 g/km	2000–2006
1.9 8v T DI PD	1896 cc	4cyl	Diesel	PS (kW; hp) @4000 rpm	N·m (lb·ft) @1900 rpm	AJM	11.1	km/h (mph)	143 g/km	1999–2001
1.9 8v T DI PD [1]	1896 cc	4cyl	Diesel	PS (kW; hp) @4000 rpm	N·m (lb·ft) @1900 rpm	AUY	11.1	km/h (mph)	143 g/km	2000–2002
1.9 8v T DI PD [1]	1896 cc	4cyl	Diesel	PS (kW; hp) @4000 rpm	N·m (lb·ft) @1900 rpm	ASZ	10.5	km/h (mph)	146 g/km	2001–2006
1.9 8v TDI PD [1]	1896 cc	4cyl	Diesel	PS (kW; hp) @4000 rpm	N·m (lb·ft) @1900 rpm	ARL	9.5	km/h (mph)	149 g/km	2000–2004
