Week	Date	Opponent	Result	Game site	Attendance
1	1995-09-03	at Miami Dolphins	L 52–14	Joe Robbie Stadium	71,317
2	1995-09-10	Indianapolis Colts	L 27–24 (OT)	The Meadowlands	65,134
3	1995-09-17	Jacksonville Jaguars	W 27–10	The Meadowlands	49,970
4	1995-09-24	at Atlanta Falcons	L 13–3	Georgia Dome	40,778
5	1995-10-01	Oakland Raiders	L 47–10	The Meadowlands	68,941
6	1995-10-08	at Buffalo Bills	L 29–10	Rich Stadium	79,485
7	1995-10-15	at Carolina Panthers	L 26–15	Memorial Stadium	52,613
8	1995-10-22	Miami Dolphins	W 17–16	The Meadowlands	67,228
9	1995-10-29	at Indianapolis Colts	L 17–10	RCA Dome	49,250
10	1995-11-05	New England Patriots	L 20–7	The Meadowlands	61,462
11	Bye	Bye	Bye	Bye	Bye
12	1995-11-19	Buffalo Bills	L 28–26	The Meadowlands	54,436
13	1995-11-26	at Seattle Seahawks	W 16–10	Kingdome	41,160
14	1995-12-03	St. Louis Rams	L 23–20	The Meadowlands	52,023
15	1995-12-10	at New England Patriots	L 31–28	Foxboro Stadium	46,617
16	1995-12-17	at Houston Oilers	L 23–6	Astrodome	35,873
17	1995-12-24	New Orleans Saints	L 12–0	The Meadowlands	28,885
