Draw	Artist	Song	Points	Place
1	Alma Čardžić	"Ljubav će pobijediti"	6	10
2	Vlada & Music Box	"Hiljadu snova"	5	11
3	Sunčeve Pege	"Viva rock 'n' roll"	0	16
4	Viva Romana	"Na mig tvoj"	3	13
5	Makadam	"Sanjam ljeto"	22	6
6	Mag	"Nikome te dao ne bih"	10	9
7	Dejan Božović	"Dan samo zna, Tamara"	0	16
8	Sonja Mitrović-Hani	"Nebo je plakalo za nama"	34	4
9	Violeta & Triler	"Bio si sve"	0	16
10	Filip & Nada	"Zemlja anđela"	12	8
11	Perper	"S druge strane"	0	16
12	Sestre Barudžija	"Hej, hej, vrati se"	5	11
13	Renata	"Ti si vetar"	18	7
14	Zerina Cokoja	"Neka te pjesmom probude"	2	14
15	Bojan	"Dajana"	31	5
16	Bajone Bend	"Molitva"	2	14
17	Extra Nena	" Ljubim te pesmama "	44	1
18	Vampiri	"Ding ding dong"	41	2
19	Ledeni Princ	"Pokloni mi poljupce"	0	16
20	Arnela Konaković	"Prva noć"	35	3
