Series #	Season #	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
140	1	" My Own Worst Enemy "	Bill Lawrence	Neil Goldman & Garrett Donovan	October25,2007	701	7.03
141	2	"My Hard Labor"	Adam Bernstein	Bill Callahan	November1,2007	702	6.68
142	3	"My Inconvenient Truth"	Bill Lawrence	Debra Fordham	November8,2007	703	6.36
143	4	"My Identity Crisis"	Gail Mancuso	Dave Tennant	November15,2007	704	6.04
144	5	" My Growing Pains "	Zach Braff	Mike Schwartz	November29,2007	705	5.91
145	6	"My Number One Doctor"	Will Mackenzie	Janae Bakken	December6,2007	706	4.86
146	7	" My Bad Too "	Linda Mendoza	Clarence Livingston	April10,2008	707	6.58
147	8	"My Manhood"	Michael McDonald	Angela Nissel	April17,2008	708	7.31
148	9	"My Dumb Luck"	Rick Blue	Aseem Batra	April24,2008	710	5.30
149	10	"My Waste of Time"	Chris Koch	Andy Schwartz	May1,2008	711	5.91
