Order	Minister	Party	Prime Minister	Term start	Term end	Term in office
1	Frank Stewart	Labor	Whitlam	19December1972	11November1975	2years, 327days
2	Reg Withers	Liberal	Fraser	11November1975	22December1975	41 days
3	Ivor Greenwood	Liberal	Fraser	22December1975	8July1976	199 days
4	Kevin Newman	Liberal	Fraser	8July1976	20December1977	1year, 165days
5	Ray Groom	Liberal	Fraser	20December1977	5December1978	350 days
6	Robert Ellicott	Liberal	Fraser	5December1978	17February1981	2years, 74days
7	Michael MacKellar	Liberal	Fraser	17February1981	19March1981	30 days
8	Ian Wilson	Liberal	Fraser	19March1981	7May1982	414 days
9	Tom McVeigh	National Country	Fraser	7May1982	11March1983	308 days
10	John Brown	Labor	Hawke	11March1983	24July1987	4years, 314days
10	John Brown	Labor	Hawke	24July1987	19January1988	4years, 314days
11	Graham Richardson	Labor	Hawke	19January1988	4April1990	2years, 75days
12	Ros Kelly	Labor	Hawke	4April1990	20December1991	3years, 331days
12	Ros Kelly	Labor	Keating	20December1991	27December1991	3years, 331days
12	Ros Kelly	Labor	Keating	27December1991	24March1993	3years, 331days
12	Ros Kelly	Labor	Keating	24March1993	1March1994	3years, 331days
n/a	Graham Richardson	Labor	Keating	1March1994	25March1994	24 days
13	John Faulkner	Labor	Keating	25March1994	11March1996	1year, 352days
14	Warwick Smith	Liberal	Howard	11March1996	9October1997	1year, 212days
15	Andrew Thomson	Liberal	Howard	9October1997	21October1998	1year, 12days
16	Jackie Kelly	Liberal	Howard	21October1998	26November2001	3years, 36days
17	Rod Kemp	Liberal	Howard	26November2001	30January2007	5years, 65days
18	George Brandis	Liberal	Howard	30January2007	3December2007	307 days
19	Kate Ellis	Labor	Rudd	3December2007	24June2010	2years, 285days
19	Kate Ellis	Labor	Gillard	24June2010	14September2010	2years, 285days
20	Mark Arbib	Labor	Gillard	14September2010	5March2012	1year, 173days
21	Kate Lundy	Labor	Gillard	5March2012	27June2013	1year, 114days
22	Don Farrell	Labor	Rudd	27June2013	18September2013	219 days
23	Peter Dutton	Liberal	Abbott	18September2013	incumbent	136 days
