Squad No.	Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	FLT Apps	FLT Goals	Total Apps	Total Goals
1	Ian Gray	GK	12	0	0	0	1	0	0	0	13	0
2	Andy Holdsworth	DF	38 (2)	0	1	0	1	0	1	0	41 (2)	0
3	Anthony Lloyd	DF	10 (1)	0	1	0	0	0	2	0	13 (1)	0
4	Lee Fowler	MF	8 (12)	0	0 (1)	0	0	0	2	1	10 (13)	1
5	Steve Yates	DF	15 (2)	0	1	0	0	0	1	0	17 (2)	0
6	Nathan Clarke	DF	37	0	1	0	1	0	1	0	40	0
7	Chris Brandon	MF	42 (2)	6	1	0	1	0	0	0	44 (2)	6
8	Tony Carss	MF	23 (4)	1	0	0	1	0	1	0	25 (4)	1
9	Paweł Abbott	FW	36 (8)	26	1	1	1	0	0 (1)	0	38 (9)	25
10	Junior Mendes	FW	13 (12)	5	1	0	0 (1)	0	1	1	15 (13)	6
11	Danny Schofield	MF	21 (12)	5	1	0	0	0	2	1	24 (12)	6
12	Luke Beckett	FW	7	6	0	0	0	0	0	0	7	6
12	Delroy Facey	FW	4	0	0	0	0	0	0	0	4	0
14	Rob Edwards	DF	21 (3)	2	0	0	1	0	0	0	22 (3)	2
16	Efe Sodje	DF	24 (4)	1	0	0	1	0	1	0	26 (4)	1
17	David Mirfin	DF	38 (3)	4	1	0	1	0	1	1	41 (3)	5
18	Jon Worthington	MF	39	3	1	0	1	0	1	0	42	3
19	Akpo Sodje	FW	1 (6)	0	0	0	0	0	1 (1)	0	2 (7)	0
20	John McAliskey	FW	7 (11)	2	0	0	0 (1)	0	1 (1)	1	8 (13)	3
21	Danny Adams	DF	5	0	0	0	0	0	0	0	5	0
22	Phil Senior	GK	5 (1)	0	0	0	0	0	2	0	7 (1)	0
23	Andy Booth	FW	25 (4)	10	0	0	1	0	1	0	27 (4)	10
24	John McCombe	DF	4 (1)	0	0	0	0	0	2	0	6 (1)	0
25	Adnan Ahmed	MF	16 (2)	1	0	0	0	0	0 (2)	1	18 (4)	2
26	Paul Rachubka	GK	29	0	1	0	0	0	0	0	30	0
27	Nat Brown	DF	7 (10)	0	0	0	0	0	1	0	8 (10)	0
29	Michael Collins	MF	7 (1)	0	0	0	0	0	0	0	7 (1)	0
36	Tom Clarke	DF	12	0	0	0	0	0	0	0	12	0
