Nation	Skip	Third	Second	Lead	Alternate
Czech Republic	Katerina Urbanova	Lenka Cernovska	Jana Safarikova	Jana Simmerova	Zuzana Hajkova
Denmark	Madeleine Dupont	Denise Dupont	Angelina Jensen *	Camilla Jensen	Ane Hansen
England	Kirsty Balfour	Caroline Reed	Claire Greenwood	Sarah McVey	Suzie Law
Germany	Andrea Schöpp	Monika Wagner	Melanie Robillard	Stella Heiss	Christina Haller
Italy	Diana Gaspari	Giorgia Appolonio	Violetta Caldart	Elettra de Col	Lucrezia Salvai
Netherlands	Shari Leibbrandt-Demmon	Margrietha Voskuilen	Ester Romijn	Idske de Jong	Marianne Neeleman
Russia	Ludmila Privivkova	Olga Jarkova	Nkeiruka Ezekh	Ekaterina Galkina	Margarita Fomina
Scotland	Kelly Wood	Jackie Lockhart	Lorna Vevers	Lindsay Wood	Eve Muirhead
Sweden	Anette Norberg	Eva Lund	Cathrine Lindahl	Anna Svärd	Kajsa Bergström
Switzerland	Mirjam Ott	Carmen Schäfer	Valeria Spälty	Janine Greiner	Carmen Küng
