Year	Song	Film	Language	Music director
1997	"Suno Gaur Se Duniya Walo (Hindustani)"	Dus	Hindi	Shankar–Ehsaan–Loy
1998	"Ae Ajnabee"	Dil Se..	Hindi	A. R. Rahman
1999	"Velli Malare"	Jodi	Tamil	A. R. Rahman
1999	"Tumne Na Humse"	Pyaar Mein Kabhi Kabhi	Hindi	Vishal Shekhar
1999	"Dil Se Mere"	Pyaar Mein Kabhi Kabhi	Hindi	Vishal Shekhar
1999	"Vanna Poonga"	Jodi	Tamil	A. R. Rahman
1999	"Kurukku Siruthhavale"	Mudhalvan	Tamil	A. R. Rahman
2000	"So Jaa Chandaa"	Mission Kashmir	Hindi	Loy Mendonsa
2000	"Yaaro Yaarodi"	Alaipayuthey	Tamil	A. R. Rahman
2000	"Kandukonden Kandukonden"	Kandukondain Kandukondain	Tamil	A. R. Rahman
2000	"Ennavo Ennavo"	Priyamanavale	Tamil	S. A. Rajkumar
2001	"Hasde Hasde"	Abhay	Hindi	Shankar–Ehsaan–Loy
2001	"Poove Vai Pesum"	12B	Tamil	Harris Jayaraj
2001	"Mutham Mutham"	12B	Tamil	Harris Jayaraj
2001	"Siri Siri"	Aalavandhan	Tamil	Shankar–Ehsaan–Loy
2001	"Yaadein Yaad Aati Hai"	Yaadein	Hindi	Anu Malik
2001	"Malai Kattru Vandhu"	Vedham	Tamil	Vidhyasagar
2002	"Har Taraf Tu Hi"	Rishtey	Hindi	Sanjeev Darshan
2002	"Daayi Daayi Dhamma"	Indra	Telugu	Mani Sharma
2002	"Chalka Chalka Re"	Saathiya	Hindi	A. R. Rahman
2002	"Kabhie Sham Dhale"	Sur – The Melody of Life	Hindi	M. M. Kreem
2002	"Oohh Yeah"	Yeh Kya Ho Raha Hai?	Hindi	Shankar–Ehsaan–Loy
2002	"Ghatothkacha Kalaadhara"	Pammal K. Sambandam	Tamil	Deva
2003	"Aao Milke Gaayein"	Armaan	Hindi	Shankar–Ehsaan–Loy
2003	"Okkasari Pilichavante"	Chantigadu	Telugu	Vandemataram Srinivas
2003	"Main Gaaon"	Armaan	Hindi	Shankar–Ehsaan–Loy
2003	"Nenjam Oru Murai"	Vaseegara	Tamil	S. A. Rajkumar
2003	"ABBG"	Kuch Naa Kaho	Hindi	Shankar–Ehsaan–Loy
2003	"Baat Meri Suniye"	Kuch Naa Kaho	Hindi	Shankar–Ehsaan–Loy
2003	"Manmadha manmadha"	Tagore	Telugu	Mani Sharma
2004	"Yeh Dhuaan"	Charas	Hindi	Raju Singh
2004	"Aakasam sakshi ga"	Adavi Ramudu	Telugu	Mani Sharma
2004	"Athi Methani"	Balu ABCDEFG	Telugu	Mani Sharma
