Sd	Rk	Player	Points	Points defending	Points won	New points	Status
2	2	Rafael Nadal	9595	360	1200	10435	Runner-up, Final lost to Novak Djokovic [1]
3	3	Roger Federer	8010	720	720	8010	Semifinals lost to Rafael Nadal [2]
4	4	Andy Murray	7380	1200	720	6900	Semifinals lost to Novak Djokovic [1]
5	5	David Ferrer	4925	720	360	4565	Quarterfinals lost to Novak Djokovic [1]
6	6	Jo-Wilfried Tsonga	4335	90	180	4425	Fourth round lost to Kei Nishikori [24]
7	7	Tomáš Berdych	3700	360	360	3700	Quarterfinals lost to Rafael Nadal [2]
8	8	Mardy Fish	2965	45	45	2965	Second round lost to Alejandro Falla
9	9	Janko Tipsarević	2655	45	90	2700	Third round lost to Richard Gasquet [17]
10	10	Nicolás Almagro	2380	180	180	2380	Fourth round lost to Tomáš Berdych [7]
11	11	Juan Martín del Potro	2315	45	360	2630	Quarterfinals lost to Roger Federer [3]
12	12	Gilles Simon	2005	45	45	2005	Second round lost to Julien Benneteau
13	14	Alexandr Dolgopolov	2030	360	90	1760	Third round lost to Bernard Tomic
14	15	Gaël Monfils	1970	90	90	1970	Third round lost to Mikhail Kukushkin
15	16	Andy Roddick	1880	180	45	1745	Second round retired against Lleyton Hewitt [WC]
16	17	John Isner	1800	90	90	1800	Third round lost to Feliciano López [18]
17	18	Richard Gasquet	1765	90	180	1855	Fourth round lost to David Ferrer [5]
18	19	Feliciano López	1755	45	180	1890	Fourth round lost to Rafael Nadal [2]
19	21	Viktor Troicki	1595	90	45	1550	Second round lost to Mikhail Kukushkin
20	22	Florian Mayer	1630	45	0	1585	withdrew due to hip strain
21	23	Stanislas Wawrinka	1615	360	90	1345	Third round lost to Nicolás Almagro [10]
22	24	Fernando Verdasco	1550	180	10	1380	First round lost to Bernard Tomic
23	25	Milos Raonic	1460	205	90	1345	Third round lost to Lleyton Hewitt [WC]
24	26	Kei Nishikori	1410	90	360	1680	Quarterfinals lost to Andy Murray [4]
25	27	Juan Mónaco	1335	45	10	1300	First round lost to Philipp Kohlschreiber
26	28	Marcel Granollers	1315	10	45	1350	Second round lost to Frederico Gil
27	29	Juan Ignacio Chela	1270	10	90	1350	Third round lost to David Ferrer [5]
28	30	Ivan Ljubičić	1270	90	10	1190	First round lost to Lukáš Lacko [Q]
29	31	Radek Štěpánek	1230	45	10	1195	First round lost to Nicolas Mahut
30	32	Kevin Anderson	1190	10	90	1270	Third round lost to Tomáš Berdych [7]
31	33	Jürgen Melzer	1170	180	10	1000	First round lost to Ivo Karlović
