Quarterback	Games	Teams	Wins	Losses	Percent
Trent Dilfer Category:Articles with hCards	6	Buccaneers	1	1	.833
Trent Dilfer Category:Articles with hCards	6	Ravens †	4	0	.833
Earl Morrall Category:Articles with hCards	5	Colts*	2	1	.800
Earl Morrall Category:Articles with hCards	5	Dolphins	2	0	.800
Jeff Hostetler Category:Articles with hCards	5	Giants †	3	0	.800
Jeff Hostetler Category:Articles with hCards	5	Raiders	1	1	.800
Tobin Rote Category:Articles with hCards	4	Lions*	2	0	.750
Tobin Rote Category:Articles with hCards	4	Chargers~	1	1	.750
Joe Montana Category:Articles with hCards	23	49ers**	14	5	.696
Joe Montana Category:Articles with hCards	23	Chiefs	2	2	.696
Kurt Warner Category:Articles with hCards	13	Rams †	5	2	.692
Kurt Warner Category:Articles with hCards	13	Cardinals	4	2	.692
Jay Schroeder Category:Articles with hCards	5	Redskins	2	1	.600
Jay Schroeder Category:Articles with hCards	5	Raiders	1	1	.600
Mike Tomczak Category:Articles with hCards	5	Bears	2	1	.600
Mike Tomczak Category:Articles with hCards	5	Steelers	1	1	.600
Ken Stabler Category:Articles with hCards	12	Raiders †	7	4	.583
Ken Stabler Category:Articles with hCards	12	Oilers	0	1	.583
Doug Williams Category:Articles with hCards	7	Buccaneers	1	3	.571
Doug Williams Category:Articles with hCards	7	Redskins †	3	0	.571
Drew Brees Category:Articles with hCards	9	Chargers	0	1	.556
Drew Brees Category:Articles with hCards	9	Saints †	5	3	.556
Brett Favre Category:Articles with hCards	24	Packers †	12	10	.542
Brett Favre Category:Articles with hCards	24	Vikings	1	1	.542
Craig Morton Category:Articles with hCards	10	Cowboys	3	2	.500
Craig Morton Category:Articles with hCards	10	Broncos	2	3	.500
Mark Brunell Category:Articles with hCards	10	Jaguars	4	4	.500
Mark Brunell Category:Articles with hCards	10	Redskins	1	1	.500
Steve McNair Category:Articles with hCards	10	Titans	5	4	.500
Steve McNair Category:Articles with hCards	10	Ravens	0	1	.500
Ron Jaworski Category:Articles with hCards	8	Rams	1	0	.500
Ron Jaworski Category:Articles with hCards	8	Eagles	3	4	.500
Jim McMahon Category:Articles with hCards	6	Bears †	3	2	.500
Jim McMahon Category:Articles with hCards	6	Vikings	0	1	.500
Arnie Herber Category:Articles with hCards *	4	Packers*	2	1	.500
Arnie Herber Category:Articles with hCards *	4	Giants	0	1	.500
Norm Van Brocklin Category:Articles with hCards	4	Rams	1	2	.500
Norm Van Brocklin Category:Articles with hCards	4	Eagles*	1	0	.500
Peyton Manning Category:Articles with hCards	20	Colts †	9	10	.450
Peyton Manning Category:Articles with hCards	20	Broncos	0	1	.450
Jim Harbaugh Category:Articles with hCards	5	Bears	0	1	.400
Jim Harbaugh Category:Articles with hCards	5	Colts	2	2	.400
Vinny Testaverde Category:Articles with hCards	5	Browns	1	1	.400
Vinny Testaverde Category:Articles with hCards	5	Jets	1	2	.400
Michael Vick Category:Articles with hCards	5	Falcons	2	2	.400
Michael Vick Category:Articles with hCards	5	Eagles	0	1	.400
Randall Cunningham Category:Articles with hCards	9	Eagles	1	4	.333
Randall Cunningham Category:Articles with hCards	9	Vikings	2	2	.333
Jack Kemp Category:Articles with hCards	6	Chargers	0	2	.333
Jack Kemp Category:Articles with hCards	6	Bills~	2	2	.333
Jake Plummer Category:Articles with hCards	6	Cardinals	1	1	.333
Jake Plummer Category:Articles with hCards	6	Broncos	1	3	.333
Chad Pennington Category:Articles with hCards	6	Jets	2	3	.333
Chad Pennington Category:Articles with hCards	6	Dolphins	0	1	.333
Steve Walsh Category:Articles with hCards	3	Saints	0	1	.333
Steve Walsh Category:Articles with hCards	3	Bears	1	1	.333
Jeff George Category:Articles with hCards	3	Falcons	0	1	.333
Jeff George Category:Articles with hCards	3	Vikings	1	1	.333
Elvis Grbac Category:Articles with hCards	3	Chiefs	0	1	.333
Elvis Grbac Category:Articles with hCards	3	Ravens	1	1	.333
Warren Moon Category:Articles with hCards	10	Oilers	3	6	.300
Warren Moon Category:Articles with hCards	10	Vikings	0	1	.300
Steve DeBerg Category:Articles with hCards	4	Broncos	0	1	.250
Steve DeBerg Category:Articles with hCards	4	Chiefs	1	2	.250
John Hadl Category:Articles with hCards	2	Chargers	0	1	.000
John Hadl Category:Articles with hCards	2	Rams	0	1	.000
Mike Phipps Category:Articles with hCards	2	Browns	0	1	.000
Mike Phipps Category:Articles with hCards	2	Bears	0	1	.000
Doug Flutie Category:Articles with hCards	2	Bears	0	1	.000
Doug Flutie Category:Articles with hCards	2	Bills	0	1	.000
Gus Frerotte Category:Articles with hCards	2	Lions	0	1	.000
Gus Frerotte Category:Articles with hCards	2	Broncos	0	1	.000
Y. A. Tittle Category:Articles with hCards	4	49ers	0	1	.000
Y. A. Tittle Category:Articles with hCards	4	Giants	0	3	.000
