Player	Played	Legs Won	Legs Lost	100+	140+	180s	High Checkout	3-dart Average
Phil Taylor	5	48	22	77	75	19	128	104.37
Mervyn King	1	3	6	7	10	3	124	100.73
Simon Whitlock	2	14	13	34	21	7	90	95.16
Co Stompé	1	2	6	10	3	4	94	98.22
Mark Walsh	3	20	20	52	32	7	128	92.61
Barrie Bates	2	12	13	47	14	2	136	95.53
Terry Jenkins	4	36	29	91	52	11	161	94.20
Andy Smith	2	11	13	41	15	2	120	90.61
Antonio Alcinas	1	3	6	9	8	0	160	90.82
Dennis Priestley	1	3	6	13	5	2	24	89.14
Jamie Caven	3	22	18	53	22	12	127	94.72
Jelle Klaasen	2	13	14	25	13	3	142	88.82
Vincent van der Voort	1	4	6	10	10	0	103	86.44
Gary Anderson	1	2	6	6	5	3	48	85.08
Paul Nicholson	1	3	9	5	2	5	90	83.11
Andree Welge	1	4	6	10	3	1	83	79.24
Mark Dudbridge	1	4	6	10	10	1	101	86.39
Raymond van Barneveld	3	24	22	64	35	8	164	97.45
Alan Tabern	1	5	6	16	5	3	141	90.29
Robert Thornton	2	10	14	42	10	3	88	88.02
Bernd Roith	2	13	14	43	17	2	152	87.89
Andy Hamilton	1	5	6	9	7	4	98	96.54
Michael van Gerwen	2	12	14	32	17	3	113	93.43
Colin Osborne	1	4	6	10	4	5	68	94.94
Colin Lloyd	4	36	28	80	56	15	160	97.43
Tomas Seyler	1	4	6	11	8	1	96	87.69
Denis Ovens	1	4	6	17	6	2	84	90.14
Wes Newton	2	15	14	34	15	10	170	94.92
Adrian Lewis	1	3	6	9	5	0	40	77.28
Ronnie Baxter	3	23	24	62	29	4	146	92.93
