Rank	Nation	Gold	Silver	Bronze	Total
1	South Korea	8	1	2	11
2	Turkey	2	0	3	5
3	France	1	1	0	2
3	Iran	1	1	0	2
3	United States	1	1	0	2
6	Azerbaijan	1	0	0	1
6	Great Britain	1	0	0	1
6	Netherlands	1	0	0	1
9	Spain	0	3	6	9
10	Chinese Taipei	0	3	1	4
11	Mexico	0	1	2	3
12	China	0	1	1	2
12	Italy	0	1	1	1
14	Denmark	0	1	0	1
14	Egypt	0	1	0	1
14	Uzbekistan	0	1	0	1
17	Greece	0	0	3	3
18	Belarus	0	0	2	2
18	Russia	0	0	2	2
20	Brazil	0	0	1	1
20	Croatia	0	0	1	1
20	Dominican Republic	0	0	1	1
20	Japan	0	0	1	1
20	Morocco	0	0	1	1
20	Norway	0	0	1	1
20	Philippines	0	0	1	1
20	Poland	0	0	1	1
20	Venezuela	0	0	1	1
Total	Total	16	16	32	64
