Player	Position	School	Hometown	College
Su'a Cravens	Defensive back	Vista Murrieta High School	Murrieta, California	Southern California
Jabrill Peppers ‡	Defensive back	Paramus Catholic High School	Paramus, New Jersey	Michigan
Marlon Humphrey ‡	Defensive back	Hoover High School	Hoover, Alabama	Undecided
Vernon Hargreaves III	Defensive back	Wharton High School	Tampa, Florida	Florida
Reuben Foster	Linebacker	Auburn High School	Auburn, Alabama	Alabama
Peter Kalambayi	Linebacker	Butler High School	Matthews, North Carolina	Stanford
Jaylon Smith	Linebacker	Bishop Luers High School	Fort Wayne, Indiana	Notre Dame
Andrew Brown ‡	Defensive line	Oscar Smith High School	Chesapeake, Virginia	Virginia
Montravius Adams	Defensive line	Dooly County High School	Vienna, Georgia	Auburn
Robert Nkemdiche	Defensive line	Grayson High School	Loganville, Georgia	Mississippi
Dee Liner	Defensive line	Muscle Shoals High School	Muscle Shoals, Alabama	Alabama
Henry Poggi	Defensive line	Gilman School	Baltimore, Maryland	Michigan
