Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
48	February 2	Memphis	L 97–113 (OT)	Antawn Jamison (29)	Antawn Jamison (13)	Verizon Center 11,442	10–38
49	February 4	New Jersey	L 88–115 (OT)	Nick Young (21)	Antawn Jamison (6)	Verizon Center 12,602	10–39
50	February 6	Denver	L 103–124 (OT)	Antawn Jamison (26)	Dominic McGuire , Antawn Jamison (8)	Verizon Center 20,173	10–40
51	February 8	Indiana	W 119–117 (OT)	Caron Butler (35)	Caron Butler (13)	Verizon Center 13,708	11–40
52	February 10	@ Atlanta	L 90–111 (OT)	Caron Butler (22)	Antawn Jamison (12)	Philips Arena 17,027	11–41
53	February 11	@ Charlotte	L 89–101 (OT)	Caron Butler (26)	Antawn Jamison (9)	Time Warner Cable Arena 10,237	11–42
54	February 17	Minnesota	W 111–103 (OT)	Antawn Jamison (29)	Antawn Jamison (11)	Verizon Center 11,623	12–42
55	February 20	@ New Jersey	W 107–96 (OT)	Antawn Jamison (28)	Dominic McGuire (14)	Izod Center 15,113	13–42
56	February 21	San Antonio	L 67–98 (OT)	Caron Butler (24)	Caron Butler , Antawn Jamison (7)	Verizon Center 20,173	13–43
57	February 25	Philadelphia	L 98–106 (OT)	Caron Butler (17)	Dominic McGuire (14)	Verizon Center 16,505	13–44
58	February 27	Chicago	W 113–90 (OT)	Antawn Jamison (27)	Dominic McGuire , Antawn Jamison (11)	Verizon Center 18,114	14–44
59	February 28	@ Milwaukee	L 93–109 (OT)	Antawn Jamison (21)	Antawn Jamison (14)	Bradley Center 15,970	14–45
