Rank	Time	Wind (m/s)	Athlete	Nation	Date	Location
1	10.49	0.0	Florence Griffith-Joyner	United States	16 July 1988	Indianapolis
2	10.64	+1.2	Carmelita Jeter	United States	20 September 2009	Shanghai
3	10.65 [A ]	+1.1	Marion Jones	United States	12 September 1998	Johannesburg
4	10.70	+0.6	Shelly-Ann Fraser-Pryce	Jamaica	29 June 2012	Kingston
5	10.73	+2.0	Christine Arron	France	19 August 1998	Budapest
6	10.74	+1.3	Merlene Ottey	Jamaica	7 September 1996	Milan
7	10.75	+0.4	Kerron Stewart	Jamaica	10 July 2009	Rome
8	10.76	+1.7	Evelyn Ashford	United States	22 August 1984	Zürich
8	10.76	+1.1	Veronica Campbell-Brown	Jamaica	31 May 2011	Ostrava
10	10.77	+0.9	Irina Privalova	Russia	6 July 1994	Lausanne
10	10.77	+0.7	Ivet Lalova	Bulgaria	19 June 2004	Plovdiv
12	10.78 [A ]	+1.0	Dawn Sowell	United States	3 June 1989	Provo
12	10.78	+1.8	Torri Edwards	United States	26 June 2008	Eugene
14	10.79	0.0	Li Xuemei	People's Republic of China	18 October 1997	Shanghai
14	10.79	−0.1	Inger Miller	United States	22 August 1999	Seville
14	10.79	+1.1	Blessing Okagbare	Nigeria	27 July 2013	London
17	10.81	+1.7	Marlies Gohr	East Germany	8 June 1983	Berlin
18	10.82	−1.0	Gail Devers	United States	1 August 1992	Barcelona
18	10.82	+0.4	Gwen Torrence	United States	3 September 1994	Paris
18	10.82	−0.3	Zhanna Block	Ukraine	6 August 2001	Edmonton
18	10.82	−0.7	Sherone Simpson	Jamaica	24 June 2006	Kingston
22	10.83	+1.7	Marita Koch	East Germany	8 June 1983	Berlin
22	10.83	0.0	Sheila Echols	United States	16 July 1988	Indianapolis
22	10.83	−0.7	Juliet Cuthbert	Jamaica	1 August 1992	Barcelona
22	10.83	+0.1	Ekaterina Thanou	Greece	22 August 1999	Seville
22	10.83	+1.6	Kelly-Ann Baptiste	Trinidad and Tobago	22 June 2013	Port of Spain
