Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 7	MONY Senior Tournament of Champions	California	250,000	George Archer (2)	283 (-5)	37,500
Feb 4	Royal Caribbean Classic	Florida	400,000	Lee Trevino (1)	206 (-7)	60,000
Feb 11	GTE Suncoast Classic	Florida	450,000	Mike Hill (1)	207 (-9)	67,500
Feb 18	Aetna Challenge	Florida	400,000	Lee Trevino (2)	200 (-16)	60,000
Mar 4	Vintage Chrysler Invitational	California	400,000	Lee Trevino (3)	205 (-11)	60,000
Mar 18	Vantage at The Dominion	Texas	300,000	Jim Dent (3)	205 (-11)	45,000
Apr 1	The Tradition at Desert Mountain	Arizona	800,000	Jack Nicklaus (1)	206 (-10)	120,000
Apr 15	PGA Seniors' Championship	Florida	450,000	Gary Player (15)	281 (-7)	75,000
Apr 29	Murata Reunion Pro-Am	Texas	400,000	Frank Beard (1)	207 (-9)	60,000
May 6	Las Vegas Senior Classic	Nevada	450,000	Chi Chi Rodriguez (14)	204 (-12)	67,500
May 13	Southwestern Bell Classic	Oklahoma	450,000	Jimmy Powell (1)	208 (-8)	67,500
May 20	Doug Sanders Kingwood Celebrity Classic	Texas	300,000	Lee Trevino (4)	203 (-13)	45,000
May 27	Bell Atlantic Classic	Pennsylvania	500,000	Dale Douglass (6)	206 (-4)	75,000
Jun 3	NYNEX Commemorative	New York	350,000	Lee Trevino (5)	199 (-11)	52,500
Jun 10	Mazda Senior Tournament Players Championship	Michigan	1,000,000	Jack Nicklaus (2)	261 (-27)	150,000
Jun 17	MONY Syracuse Senior Classic	New York	400,000	Jim Dent (4)	199 (-17)	60,000
Jun 24	Digital Seniors Classic	Massachusetts	350,000	Bob Charles (14)	203 (-13)	52,500
Jul 1	U.S. Senior Open	New Jersey	450,000	Lee Trevino (6)	275 (-13)	90,000
Jul 8	Northville Long Island Classic	New York	450,000	George Archer (3)	208 (-8)	67,500
Jul 15	Kroger Senior Classic	Ohio	600,000	Jim Dent (5)	133 (-9)	90,000
Jul 22	Ameritech Senior Open	Michigan	500,000	Chi Chi Rodriguez (15)	203 (-13)	75,000
Jul 29	Newport Cup	Rhode Island	300,000	Al Kelley (1)	134 (-10)	45,000
Aug 5	PaineWebber Invitational	North Carolina	450,000	Bruce Crampton (16)	205 (-11)	67,500
Aug 12	Sunwest Bank Charley Pride Senior Golf Classic	New Mexico	350,000	Chi Chi Rodriguez (16)	205 (-11)	52,500
Aug 19	Showdown Classic	Utah	350,000	Rives McBee (2)	202 (-14)	52,500
Aug 26	GTE Northwest Classic	Washington	350,000	George Archer (4)	205 (-11)	52,500
Sep 2	GTE North Classic	Indiana	450,000	Mike Hill (2)	201 (-15)	67,500
Sep 9	Vantage Bank One Classic	Kentucky	300,000	Rives McBee (3)	201 (-15)	45,000
Sep 16	Greater Grand Rapids Open	Michigan	300,000	Don Massengale (1)	134 (-8)	45,000
Sep 23	Crestar Classic	Virginia	350,000	Jim Dent (6)	202 (-14)	52,500
Sep 30	Fairfield Barnett Space Coast Classic	Florida	300,000	Mike Hill (3)	200 (-16)	45,000
Oct 7	Vantage Championship	North Carolina	1,500,000	Charles Coody (2)	202 (-14)	202,500
Oct 14	Gatlin Brothers Southwest Senior Classic	Texas	300,000	Bruce Crampton (17)	204 (-12)	45,000
Oct 21	Transamerica Senior Golf Championship	California	500,000	Lee Trevino (7)	205 (-11)	75,000
Oct 28	Rancho Murieta Senior Gold Rush	California	400,000	George Archer (5)	204 (-12)	60,000
Nov 4	Security Pacific Senior Classic	California	500,000	Mike Hill (4)	201 (-12)	75,000
Dec 9	GTE Kaanapali Classic	Hawaii	450,000	Bob Charles (15)	206 (-4)	67,500
Dec 16	New York Life Champions	Puerto Rico	1,000,000	Mike Hill (5)	201 (-15)	150,000
