Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Tyrrell - Ford	72	1:39:12.45	2
François Cevert	Tyrrell - Ford	72	+ 15.83	3
James Hunt	March - Ford	72	+ 1:03.01	7
Peter Revson	McLaren - Ford	72	+ 1:09.13	6
Jean-Pierre Beltoise	BRM	72	+ 1:13.37	9
Gijs Van Lennep	Iso Marlboro - Ford	70	+ 2 Laps	20
Carlos Pace	Surtees - Ford	69	+ 3 Laps	8
Clay Regazzoni	BRM	68	+ 4 Laps	12
Howden Ganley	Iso Marlboro - Ford	68	+ 4 Laps	15
George Follmer	Shadow - Ford	67	+ 5 Laps	22
Ronnie Peterson	Lotus - Ford	66	Engine	1
Graham Hill	Shadow - Ford	56	Not Classified	17
Niki Lauda	BRM	52	Fuel Pump	11
Mike Hailwood	Surtees - Ford	52	Electrical	24
Denny Hulme	McLaren - Ford	31	Engine	4
Wilson Fittipaldi	Brabham - Ford	27	Accident	13
Chris Amon	Tecno	22	Fuel System	19
Carlos Reutemann	Brabham - Ford	9	Tyre	5
David Purley	March - Ford	8	Withdrew	21
Roger Williamson	March - Ford	7	Fatal Accident	18
Emerson Fittipaldi	Lotus - Ford	2	Physical	16
Mike Beuttler	March - Ford	2	Electrical	23
Jackie Oliver	Shadow - Ford	1	Accident	10
Rikky von Opel	Ensign - Ford	0	Non Starter	14
